,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
188,189,JOUANNE SEBASTIEN,ASCC.RAMBOUILLET OLYMPIQUE,48 S4M,,0 days 05:41:27.000000000,0 days 00:55:58.000000000,0 days 02:51:03.000000000,0 days 01:54:27.000000000
189,190,SOBOCAN FRÉDÉRIC,AIX SAVOIE TRIATHLON,49 S4M,,0 days 05:42:13.000000000,0 days 01:15:18.000000000,0 days 02:48:38.000000000,0 days 01:38:17.000000000
190,191,BERTIN JÉRÔME,BOURG EN BRESSE TRIATHLON,21 S2M,,0 days 05:42:28.000000000,0 days 01:01:41.000000000,0 days 02:46:58.000000000,0 days 01:53:50.000000000
191,192,LAURY MARC,A.L. ECHIROLLES TRIATHLON,30 V2M,,0 days 05:42:47.000000000,0 days 01:10:32.000000000,0 days 02:52:01.000000000,0 days 01:40:15.000000000
192,193,HEMONT JEAN CLAUDE,T.C. JOUE LES TOURS,4 V4M,,0 days 05:44:45.000000000,0 days 01:00:16.000000000,0 days 02:49:09.000000000,0 days 01:55:21.000000000
193,194,HAERRIG VIRGILE,TRIATHLON SANNOIS FRANCONVILLE,22 S2M,,0 days 05:47:17.000000000,0 days 00:54:15.000000000,0 days 02:53:43.000000000,0 days 01:59:19.000000000
194,195,LEPIN YVES,TRIATHLON DU SALEVE,50 S4M,,0 days 05:47:37.000000000,0 days 01:15:02.000000000,0 days 02:32:50.000000000,0 days 01:59:46.000000000
195,196,DECLERCQ FABIEN,WASQUEHAL TRIATHLON,12 V3M,,0 days 05:47:49.000000000,0 days 01:01:07.000000000,0 days 02:50:28.000000000,0 days 01:56:15.000000000
196,197,ASSOUS CLAUDE,C.A.O. SAINT CYR,13 V3M,,0 days 05:48:22.000000000,0 days 01:02:52.000000000,0 days 02:58:05.000000000,0 days 01:47:25.000000000
197,198,MONTPIED LIONNEL,FONTANIL TRIATHLON,39 V1M,,0 days 05:48:53.000000000,0 days 01:00:03.000000000,0 days 03:00:44.000000000,0 days 01:48:07.000000000
198,199,BESSET DAVID,ASMSE,27 S3M,,0 days 05:49:04.000000000,0 days 01:07:42.000000000,0 days 03:05:40.000000000,0 days 01:35:42.000000000
199,200,MITIFIOT CHRISTOPHE,NON LICENCIÉ,31 V2M,,0 days 05:49:07.000000000,0 days 01:07:55.000000000,0 days 02:50:11.000000000,0 days 01:51:01.000000000
200,201,SCHÄTTI CHRISTOPHE SUI,TRI SUISSE,14 V3M,,0 days 05:49:29.000000000,0 days 01:05:00.000000000,0 days 02:49:14.000000000,0 days 01:55:16.000000000
201,202,GODOU JEAN CHRISTOPHE,ASCC.RAMBOUILLET OLYMPIQUE,40 V1M,,0 days 05:50:29.000000000,0 days 01:09:18.000000000,0 days 02:59:20.000000000,0 days 01:41:53.000000000
202,203,GARROT CHRISTOPHE,NON LICENCIÉ,32 V2M,,0 days 05:51:12.000000000,0 days 01:08:55.000000000,0 days 03:00:32.000000000,0 days 01:41:46.000000000
203,204,MENTION CHRISTIAN,EMBRUN TRIATHLON CLUB,5 V4M,,0 days 05:52:53.000000000,0 days 01:22:43.000000000,0 days 02:50:42.000000000,0 days 01:39:28.000000000
204,205,MANCINI CHRISTIAN,EMBRUN TRIATHLON CLUB,6 V4M,,0 days 05:52:54.000000000,0 days 00:53:49.000000000,0 days 02:50:52.000000000,0 days 02:08:13.000000000
205,206,PRUVOT PASCAL,MONT BLANC TRIATHLON,15 V3M,,0 days 05:54:02.000000000,0 days 01:15:21.000000000,0 days 02:45:04.000000000,0 days 01:53:38.000000000
206,207,CROSO GERARD,SWISS TRIATHLON,41 V1M,,0 days 05:55:10.000000000,0 days 01:02:57.000000000,0 days 02:44:52.000000000,0 days 02:07:22.000000000
