,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
87,88,LAURENT OLIVIER,MACH 3 TRI,MS3 - M,,0 days 01:12:47.000000000,0 days 00:14:46.000000000,0 days 00:35:29.000000000,0 days 00:22:32.000000000
88,89,DE LAGARDE MARILYNE,METZ TRI,FS4 - F,,0 days 01:12:50.000000000,0 days 00:16:21.000000000,0 days 00:37:29.000000000,0 days 00:19:00.000000000
89,90,CAMPESTRIN JACQUES,TRIALP MOIRANS,MS4 - M,,0 days 01:12:52.000000000,0 days 00:14:51.000000000,0 days 00:35:32.000000000,0 days 00:22:29.000000000
90,91,ROUSSET HUGUES,TC2R,MS3 - M,,0 days 01:12:54.000000000,0 days 00:13:36.000000000,0 days 00:35:47.000000000,0 days 00:23:31.000000000
91,92,CARRAZ MANUEL,TRI VILLEFRANCHE,MS4 - M,,0 days 01:13:02.000000000,0 days 00:14:36.000000000,0 days 00:36:15.000000000,0 days 00:22:11.000000000
92,93,DELAUNAY FRÉDÉRIC,ANNONAY TRI,MV1 - M,,0 days 01:13:18.000000000,0 days 00:14:19.000000000,0 days 00:36:37.000000000,0 days 00:22:22.000000000
93,94,MIENVILLE NICOLAS,FONTANIL TRI,MS3 - M,,0 days 01:13:23.000000000,0 days 00:15:38.000000000,0 days 00:36:31.000000000,0 days 00:21:14.000000000
94,95,THIRIOT VINCENT,NON LICENCIE,MS3 - M,,0 days 01:13:26.000000000,0 days 00:17:26.000000000,0 days 00:36:35.000000000,0 days 00:19:25.000000000
95,96,LANIEL JOSEPH,ASMSE,MV5 - M,,0 days 01:13:39.000000000,0 days 00:14:39.000000000,0 days 00:36:46.000000000,0 days 00:22:14.000000000
96,97,LEFRANC DENIS,MACON TRI,MV2 - M,,0 days 01:13:39.000000000,0 days 00:15:29.000000000,0 days 00:36:09.000000000,0 days 00:22:01.000000000
