,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
241,242,DELILLE FRÉDÉRIC,LES HYDROCYCLOPEDS,64 V1M,M,0 days 02:43:14.000000000,0 days 00:28:37.000000000,0 days 01:27:21.000000000,0 days 00:47:17.000000000
242,243,SOARES FRANCK,TRIATHLON DU SALEVE,65 V1M,M,0 days 02:43:18.000000000,0 days 00:27:58.000000000,0 days 01:28:06.000000000,0 days 00:47:15.000000000
243,244,PINEAU TONY,TOULOUSE TRIATHLON,14 S2M,M,0 days 02:43:25.000000000,0 days 00:26:55.000000000,0 days 01:30:53.000000000,0 days 00:45:38.000000000
244,245,FOURNIER FRED,NON LICENCIE,66 V1M,M,0 days 02:43:30.000000000,0 days 00:23:32.000000000,0 days 01:25:52.000000000,0 days 00:54:08.000000000
245,246,JACOTTIN FRANCK,SWISS TRIATHON,24 V2M,M,0 days 02:43:51.000000000,0 days 00:26:08.000000000,0 days 01:28:14.000000000,0 days 00:49:31.000000000
246,247,BLANC MARINE,AIX SAVOIE TRIATHLON,4 S3F,F,0 days 02:44:16.000000000,0 days 00:25:24.000000000,0 days 01:28:56.000000000,0 days 00:49:57.000000000
247,248,VIEZZI THOMAS,ASSP TRIATHLON 69,61 S4M,M,0 days 02:44:31.000000000,0 days 00:27:32.000000000,0 days 01:26:44.000000000,0 days 00:50:16.000000000
248,249,SUBLET LIONEL,NON LICENCIE,67 V1M,M,0 days 02:44:33.000000000,0 days 00:31:04.000000000,0 days 01:27:57.000000000,0 days 00:45:34.000000000
249,250,GUIOTH ERIC,METZ TRIATHLON,62 S4M,M,0 days 02:44:53.000000000,0 days 00:27:42.000000000,0 days 01:28:51.000000000,0 days 00:48:21.000000000
250,251,PECQUEUX PASCAL,RENNES TRIATHLON,25 V2M,M,0 days 02:45:12.000000000,0 days 00:27:12.000000000,0 days 01:29:02.000000000,0 days 00:48:58.000000000
251,252,PARISSE ALAIN,AIX SAVOIE TRIATHLON,68 V1M,M,0 days 02:45:40.000000000,0 days 00:25:54.000000000,0 days 01:29:05.000000000,0 days 00:50:42.000000000
252,253,PALMIER JEAN PHILIPPE,NON LICENCIE,69 V1M,M,0 days 02:45:53.000000000,0 days 00:28:41.000000000,0 days 01:32:36.000000000,0 days 00:44:37.000000000
253,254,MALARD NATHALIE,TEAM MERMILLOD TRIATHLON,6 V1F,F,0 days 02:46:04.000000000,0 days 00:27:49.000000000,0 days 01:30:12.000000000,0 days 00:48:04.000000000
254,255,FORINCHON CAROLINE,TRIATHLON DU SALEVE,5 S3F,F,0 days 02:46:14.000000000,0 days 00:26:23.000000000,0 days 01:30:56.000000000,0 days 00:48:56.000000000
255,256,ALONSO MARIANO,MUNG TRIATLON TEAM UCP,38 S3M,M,0 days 02:46:33.000000000,0 days 00:27:54.000000000,0 days 01:28:17.000000000,0 days 00:50:23.000000000
256,257,PONIATOWSKI ERIC,VAULX EN VELIN TRIATHLON,26 V2M,M,0 days 02:46:42.000000000,0 days 00:26:48.000000000,0 days 01:31:05.000000000,0 days 00:48:49.000000000
257,258,VILLETTE NATHALIE,OULLINS TRIATHLON,7 V1F,F,0 days 02:46:49.000000000,0 days 00:34:24.000000000,0 days 01:25:25.000000000,0 days 00:47:01.000000000
258,259,MERCIER WILLIAM,NON LICENCIE,39 S3M,M,0 days 02:47:33.000000000,0 days 00:27:39.000000000,0 days 01:29:36.000000000,0 days 00:50:20.000000000
259,260,CARSOULLE BENOIT,GUC TRIATHLON,63 S4M,M,0 days 02:48:00.000000000,0 days 00:25:49.000000000,0 days 01:31:53.000000000,0 days 00:50:18.000000000
260,261,ANDRE FRANCK,NON LICENCIE,64 S4M,M,0 days 02:48:04.000000000,0 days 00:30:50.000000000,0 days 01:29:43.000000000,0 days 00:47:31.000000000
261,262,BUCHENAU CARSTEN,NON LICENCIE,65 S4M,M,0 days 02:48:12.000000000,0 days 00:31:57.000000000,0 days 01:29:33.000000000,0 days 00:46:43.000000000
262,263,DUHAMEL DANY,TRISPIRIDON OYONNAX,27 V2M,M,0 days 02:49:14.000000000,0 days 00:29:57.000000000,0 days 01:25:14.000000000,0 days 00:54:04.000000000
263,264,GERARD YVES,CHARLEVILLE TRIATHLON ARDENNES,7 V4M,M,0 days 02:49:16.000000000,0 days 00:31:56.000000000,0 days 01:26:01.000000000,0 days 00:51:20.000000000
264,265,FANTAUZZI MATHIEU,CALVIXTRI,40 S3M,M,0 days 02:49:45.000000000,0 days 00:29:46.000000000,0 days 01:28:47.000000000,0 days 00:51:13.000000000
265,266,GAUTIER WILLY,CRV LYON TRIATHLON,28 V2M,M,0 days 02:50:03.000000000,0 days 00:30:21.000000000,0 days 01:31:28.000000000,0 days 00:48:15.000000000
266,267,GOBERT BENOIT,SWISS TRIATHON,70 V1M,M,0 days 02:50:11.000000000,0 days 00:23:12.000000000,0 days 01:31:10.000000000,0 days 00:55:50.000000000
267,268,AUBIN CHRISTIAN,TRIATHLON DU SALEVE,29 V2M,M,0 days 02:50:19.000000000,0 days 00:25:20.000000000,0 days 01:36:53.000000000,0 days 00:48:08.000000000
268,269,RIEBEN CHRISTELLE,TRI GENEVE,4 S4F,F,0 days 02:50:56.000000000,0 days 00:26:10.000000000,0 days 01:36:26.000000000,0 days 00:48:21.000000000
269,270,DUMONT DAVID,AIX SAVOIE TRIATHLON,71 V1M,M,0 days 02:52:15.000000000,0 days 00:31:41.000000000,0 days 01:35:26.000000000,0 days 00:45:09.000000000
270,271,KIRBY SABINE,TRIATHLON DU SALEVE,6 S3F,F,0 days 02:52:21.000000000,0 days 00:25:04.000000000,0 days 01:37:45.000000000,0 days 00:49:34.000000000
271,272,GRELLIER LAURIS,NON LICENCIE,41 S3M,M,0 days 02:52:40.000000000,0 days 00:23:13.000000000,0 days 01:37:49.000000000,0 days 00:51:39.000000000
272,273,PIZOT STEVEN,NON LICENCIE,42 S3M,M,0 days 02:52:46.000000000,0 days 00:27:41.000000000,0 days 01:38:38.000000000,0 days 00:46:28.000000000
273,274,GIROUD MIREILLE,AIX SAVOIE TRIATHLON,1 V3F,F,0 days 02:53:00.000000000,0 days 00:26:46.000000000,0 days 01:36:22.000000000,0 days 00:49:52.000000000
274,275,BONNET VALÉRIE,MACH 3 TRIATHLON,7 S3F,F,0 days 02:53:07.000000000,0 days 00:26:23.000000000,0 days 01:38:43.000000000,0 days 00:48:01.000000000
275,276,DE PONTE LUCIE,GUC TRIATHLON,5 S2F,F,0 days 02:53:37.000000000,0 days 00:26:53.000000000,0 days 01:36:22.000000000,0 days 00:50:23.000000000
276,277,OLIVIER YANN,BEAULIEU TRIATHLON,30 V2M,M,0 days 02:53:47.000000000,0 days 00:30:48.000000000,0 days 01:35:37.000000000,0 days 00:47:23.000000000
277,278,LOUPS PHILIPPE,TEAM MERMILLOD TRIATHLON,43 S3M,M,0 days 02:54:09.000000000,0 days 00:32:17.000000000,0 days 01:37:40.000000000,0 days 00:44:13.000000000
278,279,DUBOIS GUILLAUME,FREE IRON TEAM,15 S2M,M,0 days 02:54:15.000000000,0 days 00:23:02.000000000,0 days 01:32:53.000000000,0 days 00:58:21.000000000
279,280,JACQUOT PIERRE,NON LICENCIE,72 V1M,M,0 days 02:54:30.000000000,0 days 00:28:33.000000000,0 days 01:33:51.000000000,0 days 00:52:07.000000000
280,281,TROUCHE BÉRANGÈRE,LES HYDROCYCLOPEDS,8 V1F,F,0 days 02:55:17.000000000,0 days 00:27:13.000000000,0 days 01:40:35.000000000,0 days 00:47:30.000000000
281,282,BOUVIER ALEXANDRE,TRI GENEVE,66 S4M,M,0 days 02:56:09.000000000,0 days 00:28:42.000000000,0 days 01:33:47.000000000,0 days 00:53:41.000000000
282,283,BRUNON YVES,NON LICENCIÉ,8 V4M,M,0 days 02:56:31.000000000,0 days 00:31:40.000000000,0 days 01:30:29.000000000,0 days 00:54:22.000000000
283,284,GAY FRANÇOIS,NON LICENCIÉ,73 V1M,M,0 days 02:56:56.000000000,0 days 00:32:59.000000000,0 days 01:33:47.000000000,0 days 00:50:11.000000000
284,285,ROBERT RÉGIS,RED STAR CLUB CHAMPIGNY,16 V3M,M,0 days 02:56:58.000000000,0 days 00:29:32.000000000,0 days 01:31:42.000000000,0 days 00:55:46.000000000
285,286,ROBERT FABRICE,AIX SAVOIE TRIATHLON,74 V1M,M,0 days 02:57:01.000000000,0 days 00:32:00.000000000,0 days 01:33:20.000000000,0 days 00:51:42.000000000
286,287,ARNAUD VIRGINIE,SAINT PRIEST TRIATHLON,8 S3F,F,0 days 02:57:08.000000000,0 days 00:26:58.000000000,0 days 01:41:11.000000000,0 days 00:49:00.000000000
287,288,ESCOFFIER DANIEL,GUC TRIATHLON,1 V7M,M,0 days 02:58:16.000000000,0 days 00:26:18.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
288,289,LEVEUGLE JEAN MICHEL,PASSY MONT BLANC TRIATHLON,31 V2M,M,0 days 02:59:05.000000000,0 days 00:27:15.000000000,0 days 01:40:50.000000000,0 days 00:51:00.000000000
289,290,ZIMMERMANN KATHERINE,NON LICENCIE,9 V1F,F,0 days 02:59:09.000000000,0 days 00:28:41.000000000,0 days 01:34:03.000000000,0 days 00:56:26.000000000
290,291,FONTAINE GUILLAUME,BOURG EN BRESSE TRIATHLON,16 S2M,M,0 days 02:59:46.000000000,0 days 00:24:36.000000000,0 days 01:40:38.000000000,0 days 00:54:34.000000000
291,292,GALLEGO FRÉDÉRIC,VAULX EN VELIN TRIATHLON,17 V3M,M,0 days 03:00:36.000000000,0 days 00:30:40.000000000,0 days 01:32:09.000000000,0 days 00:57:47.000000000
292,293,GEFFROY NICOLAS,LES HYDROCYCLOPEDS,44 S3M,M,0 days 03:03:14.000000000,0 days 00:25:04.000000000,0 days 01:43:38.000000000,0 days 00:54:33.000000000
