,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,STRAGAPEDE VINCENT,GT VESOUL,1-SE,,0 days 00:58:38.000000000,0 days 00:12:12.000000000,0 days 00:28:38.000000000,0 days 00:17:49.000000000
1,2,CHANAL NICHOLAS,TAM,2-SE,,0 days 01:01:03.000000000,0 days 00:11:42.000000000,0 days 00:30:58.000000000,0 days 00:18:23.000000000
2,3,REBEYROTTE THEO,METZ TRIATHLON,3-SE,,0 days 01:01:14.000000000,0 days 00:11:33.000000000,0 days 00:31:30.000000000,0 days 00:18:10.000000000
3,4,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1-V,,0 days 01:01:26.000000000,0 days 00:12:17.000000000,0 days 00:30:47.000000000,0 days 00:18:22.000000000
4,5,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,4-SE,,0 days 01:02:09.000000000,0 days 00:13:04.000000000,0 days 00:30:35.000000000,0 days 00:18:30.000000000
5,6,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,2-V,,0 days 01:02:56.000000000,0 days 00:12:32.000000000,0 days 00:31:09.000000000,0 days 00:19:16.000000000
6,7,BAJARD MATTHIEU,TRIATHLON MACON CLUB,5-SE,,0 days 01:03:28.000000000,0 days 00:14:01.000000000,0 days 00:30:34.000000000,0 days 00:18:53.000000000
7,8,ANTOINE PHILIPPE,BOURG EN BRESSE TRIATHLON,6-SE,,0 days 01:03:47.000000000,0 days 00:14:12.000000000,0 days 00:31:16.000000000,0 days 00:18:19.000000000
8,9,ORVELIN REMI,CHAMBÉRY TRIATHLON,1-CA,,0 days 01:03:55.000000000,0 days 00:15:43.000000000,0 days 00:29:53.000000000,0 days 00:18:19.000000000
9,10,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,7-SE,,0 days 01:04:30.000000000,0 days 00:12:37.000000000,0 days 00:31:23.000000000,0 days 00:20:31.000000000
10,11,GODET MAX,ISSY TRIATHLON,8-SE,,0 days 01:04:33.000000000,0 days 00:13:44.000000000,0 days 00:31:46.000000000,0 days 00:19:02.000000000
11,12,WALLACH MATHIEU,ASVEL TRI,9-SE,,0 days 01:04:38.000000000,0 days 00:15:07.000000000,0 days 00:30:33.000000000,0 days 00:18:58.000000000
12,13,RUSCONI MICKAËL,LES ALLIGATORS SEYNOD TRIAT,10-SE,,0 days 01:04:55.000000000,0 days 00:13:45.000000000,0 days 00:30:56.000000000,0 days 00:20:14.000000000
13,14,BERTHÉ BENOIT,LES HYDROS,11-SE,,0 days 01:05:00.000000000,0 days 00:14:55.000000000,0 days 00:30:56.000000000,0 days 00:19:09.000000000
14,15,POIZAT ERIC,TRIATHLON MACON CLUB,3-V,,0 days 01:05:00.000000000,0 days 00:14:12.000000000,0 days 00:31:19.000000000,0 days 00:19:29.000000000
15,16,TISSERAND JEROME,BOURG EN BRESSE TRIATHLON,12-SE,,0 days 01:05:04.000000000,0 days 00:15:47.000000000,0 days 00:30:40.000000000,0 days 00:18:37.000000000
16,17,DURANTON EMMANUEL,CRV LYON TRIATHLON,13-SE,,0 days 01:05:24.000000000,0 days 00:15:21.000000000,0 days 00:31:34.000000000,0 days 00:18:29.000000000
17,18,GAND RAPHAEL,BOURG EN BRESSE TRIATHLON,14-SE,,0 days 01:05:30.000000000,0 days 00:15:05.000000000,0 days 00:30:37.000000000,0 days 00:19:48.000000000
18,19,FOURNIER DOMINIQUE,BOURG EN BRESSE TRIATHLON,4-V,,0 days 01:05:33.000000000,0 days 00:15:23.000000000,0 days 00:30:16.000000000,0 days 00:19:54.000000000
19,20,HENRY YANNICK,BEAUNE MONNOT TRIATHLON,15-SE,,0 days 01:05:36.000000000,0 days 00:15:31.000000000,0 days 00:29:58.000000000,0 days 00:20:07.000000000
20,21,FROGER SAMUEL,ASVEL TRI,16-SE,,0 days 01:05:52.000000000,0 days 00:14:22.000000000,0 days 00:31:21.000000000,0 days 00:20:09.000000000
21,22,ALLAIN JEROME,ATOUTSPORTS,17-SE,,0 days 01:05:59.000000000,0 days 00:14:49.000000000,0 days 00:30:46.000000000,0 days 00:20:25.000000000
22,23,VILLLIE QUENTIN,TRI VILLEFRANCHE,18-SE,,0 days 01:06:00.000000000,0 days 00:14:47.000000000,0 days 00:30:58.000000000,0 days 00:20:16.000000000
23,24,VAZ EMMANUEL,ASMSE TRI 42,19-SE,,0 days 01:06:07.000000000,0 days 00:15:35.000000000,0 days 00:30:03.000000000,0 days 00:20:28.000000000
24,25,ARNAUD CEDRIC,ALLIGATORS SEYNOD,20-SE,,0 days 01:06:19.000000000,0 days 00:14:40.000000000,0 days 00:31:07.000000000,0 days 00:20:31.000000000
