,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,OUILLERES GWENAEL,TEAM MERMILLOD TRIATHLON,1 S2M,M,0 days 04:02:19.000000000,0 days 00:26:20.000000000,0 days 02:20:51.000000000,0 days 01:15:09.000000000
1,2,BINET STEPHEN,AIX SAVOIE TRIATHLON,1 S4M,M,0 days 04:05:02.000000000,0 days 00:28:44.000000000,0 days 02:21:10.000000000,0 days 01:15:09.000000000
2,3,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 V1M,M,0 days 04:05:59.000000000,0 days 00:26:29.000000000,0 days 02:23:05.000000000,0 days 01:16:26.000000000
3,4,CHRISTIN NICOLAS,AL ECHIROLLES TRIATHLON,1 S3M,M,0 days 04:06:59.000000000,0 days 00:28:41.000000000,0 days 02:23:25.000000000,0 days 01:14:55.000000000
4,5,MIZZON THIERRY,ASMSE TRI 42,2 S3M,M,0 days 04:08:11.000000000,0 days 00:26:32.000000000,0 days 02:26:52.000000000,0 days 01:14:48.000000000
5,6,FLEURY JEFFREY,DIJON SINGLETRACK,2 S2M,M,0 days 04:08:28.000000000,0 days 00:28:22.000000000,0 days 02:19:55.000000000,0 days 01:20:13.000000000
6,7,AUREILLE FLORIAN,TEAM MERMILLOD TRIATHLON,3 S2M,M,0 days 04:08:47.000000000,0 days 00:29:50.000000000,0 days 02:19:12.000000000,0 days 01:19:46.000000000
7,8,MICHEL LOÏC,TEAM MERMILLOD TRIATHLON,3 S3M,M,0 days 04:10:20.000000000,0 days 00:30:05.000000000,0 days 02:28:11.000000000,0 days 01:12:05.000000000
8,9,ARNAUD CÉDRIC,ALLIGATORS SEYNOD,2 S4M,M,0 days 04:12:41.000000000,0 days 00:29:01.000000000,0 days 02:25:36.000000000,0 days 01:18:05.000000000
9,10,PICHON LIONEL,CHAMBERY TRIATHLON,4 S3M,M,0 days 04:13:36.000000000,0 days 00:29:57.000000000,0 days 02:25:53.000000000,0 days 01:17:47.000000000
10,11,ARCHAMBAULT PIERRE-YVES,AIX SAVOIE TRIATHLON,3 S4M,M,0 days 04:14:05.000000000,0 days 00:28:49.000000000,0 days 02:23:18.000000000,0 days 01:22:00.000000000
11,12,COUZON DAVID,MILLE PATTES TRIATHLON,2 V1M,M,0 days 04:15:00.000000000,0 days 00:29:22.000000000,0 days 02:29:21.000000000,0 days 01:16:18.000000000
12,13,PARISY AURÉLIEN,ANSA,1 S1M,M,0 days 04:16:54.000000000,0 days 00:30:34.000000000,0 days 02:29:19.000000000,0 days 01:17:03.000000000
13,14,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,4 S2M,M,0 days 04:17:26.000000000,0 days 00:26:23.000000000,0 days 02:26:05.000000000,0 days 01:24:59.000000000
14,15,VILLENA ERIC,ASVEL TRI,1 V2M,M,0 days 04:17:28.000000000,0 days 00:30:41.000000000,0 days 02:29:46.000000000,0 days 01:17:02.000000000
15,16,VANHALWYN DIMITRI,HALLUIN,4 S4M,M,0 days 04:17:50.000000000,0 days 00:34:49.000000000,0 days 02:22:12.000000000,0 days 01:20:50.000000000
16,17,BOUVIER ARNAUD,TEAM MERMILLOD TRIATHLON,2 V2M,M,0 days 04:17:57.000000000,0 days 00:30:01.000000000,0 days 02:28:39.000000000,0 days 01:19:18.000000000
17,18,VIDBERG MANUEL,CNP TRIATHLON,5 S2M,M,0 days 04:18:01.000000000,0 days 00:33:17.000000000,0 days 02:28:34.000000000,0 days 01:16:12.000000000
18,19,PHILIBERT ERIC,AIX SAVOIE TRIATHLON,5 S4M,M,0 days 04:18:35.000000000,0 days 00:29:23.000000000,0 days 02:28:53.000000000,0 days 01:20:20.000000000
19,20,VIVION NICOLAS,NON LICENCIÉ,5 S3M,M,0 days 04:19:07.000000000,0 days 00:28:48.000000000,0 days 02:26:59.000000000,0 days 01:23:22.000000000
20,21,BOWYER PAUL,VOMAXIMUM,6 S4M,M,0 days 04:19:20.000000000,0 days 00:29:51.000000000,0 days 02:30:37.000000000,0 days 01:18:53.000000000
21,22,BIRAT JEAN-MARC,ASVEL TRI,6 S3M,M,0 days 04:19:36.000000000,0 days 00:29:31.000000000,0 days 02:31:28.000000000,0 days 01:18:39.000000000
22,23,BELLET LAURENT,AIX SAVOIE TRIATHLON,3 V1M,M,0 days 04:20:38.000000000,0 days 00:34:39.000000000,0 days 02:29:25.000000000,0 days 01:16:36.000000000
