,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,DEPRET RUDY,CANNIBAL,1-MS4,,0 days 04:44:56.000000000,,,
1,2,BASTIE CHRISTOPHE,ASMSE,1-MV1,,0 days 04:46:49.000000000,,,
2,3,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,1-MS2,,0 days 04:51:15.000000000,,,
3,4,PIRON EMMANUEL,VICHY TRIATHLON,2-MV1,,0 days 04:58:46.000000000,,,
4,5,LAGIER LAURENT,TULLE TRIATHLON,2-MS4,,0 days 04:59:34.000000000,,,
5,6,MORATIN STEPHANE,TRITYC,1-MS3,,0 days 05:00:56.000000000,,,
6,7,HUET STEPHANE,US CRETEIL TRIATHLON,3-MS4,,0 days 05:02:08.000000000,,,
7,8,DEBOES CHRISTOPHE,ASM.SAINT-ETIENNE TRIATHLON 4,4-MS4,,0 days 05:02:36.000000000,,,
8,9,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,2-MS3,,0 days 05:02:58.000000000,,,
9,10,MICHEL LOIC,TEAM MERMILLOD TRIATHLON,2-MS2,,0 days 05:03:20.000000000,,,
10,11,MAJEWSKI ALEXANDRE,MACH 3 TRIATHLON,3-MS3,,0 days 05:04:05.000000000,,,
11,12,BIVILLE PATRICE,NON LICENCIE,3-MV1,,0 days 05:06:07.000000000,,,
12,13,ARNAUD CEDRIC,LES ALLIGATORS SEYNOD TRIAT,4-MS3,,0 days 05:07:27.000000000,,,
13,14,GUILLAUME PHILIPPE,A. L. ECHIROLLES,3-MS2,,0 days 05:09:29.000000000,,,
14,15,MORIN DIDIER,VAL DE REUIL TRIATHLON,5-MS4,,0 days 05:10:37.000000000,,,
15,16,ANDING STEPHANE,RIXELM TRI 132,4-MV1,,0 days 05:12:13.000000000,,,
16,17,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,5-MV1,,0 days 05:13:08.000000000,,,
17,18,BOIS JEAN-CHRISTOPHE,CVR LYON TRI,6-MS4,,0 days 05:13:21.000000000,,,
18,19,JONIN CHRISTIAN,ASVEL TRIATHLON,6-MV1,,0 days 05:13:50.000000000,,,
19,20,BELZ ARNAUD,HYÈRES TRIATHLON,5-MS3,,0 days 05:14:22.000000000,,,
20,21,CHARITAT ERIC,TRYSSINGEAUX,7-MS4,,0 days 05:16:03.000000000,,,
21,22,PICARD BASTIEN,VAL DE REUIL TRIATHLON,6-MS3,,0 days 05:16:04.000000000,,,
22,23,LALEVEE MATTHIEU,VITTEL TRIATHLON,1-MS1,,0 days 05:17:22.000000000,,,
23,24,JACQUES PIERRE ANDRE,LES MILLE PATTES TRIATHLON,4-MS2,,0 days 05:17:32.000000000,,,
24,25,DAUMAS ROMAIN,VICHY TRIATHLON,7-MS3,,0 days 05:18:34.000000000,,,
25,26,GONZALEZ SEBASTIEN,NON LICENCIE,7-MV1,,0 days 05:18:43.000000000,,,
26,27,BOURDIN JEROME,CLUB NAUTIQUE PONTARLIER TR,8-MS3,,0 days 05:19:18.000000000,,,
27,28,MROZINSKI COLIN,GUC TRIATHLON,2-MS1,,0 days 05:19:25.000000000,,,
28,29,ALLAIN JEROME,COMITE SPORTIF DU LAC DES SAP,8-MS4,,0 days 05:19:44.000000000,,,
29,30,PERSONNE GREGORY,TC2R,9-MS4,,0 days 05:19:51.000000000,,,
30,31,VON BERG RODOLPHE,BRUSSELS TRIATHLON CLUB,1-MV3,,0 days 05:21:14.000000000,,,
31,32,CHALOT PASCAL,ASVEL TRIATHLON,2-MV3,,0 days 05:21:16.000000000,,,
32,33,CATON JEAN-PIERRE,CRV LYON TRIATHLON,9-MS3,,0 days 05:21:30.000000000,,,
33,34,BORRION REMI,DIJON TRIATHLON,10-MS4,,0 days 05:21:52.000000000,,,
34,35,MASSON BRUNO,US PALAISEAU TRIATHLON,8-MV1,,0 days 05:22:31.000000000,,,
35,36,BERNARD STEPHANE,LES MILLE PATTES TRIATHLON,10-MS3,,0 days 05:22:51.000000000,,,
36,37,SADER THIBAUD,FREE IRON TEAM,3-MS1,,0 days 05:23:03.000000000,,,
37,38,LOUET CHRISTOPHE,TRIATHLON CLUB AUXONNAIS,9-MV1,,0 days 05:23:08.000000000,,,
38,39,MOUCHARD ROMUALD,TEAM MERMILLOD TRIATHLON,10-MV1,,0 days 05:23:43.000000000,,,
39,40,LANGE STEPHANE,CREPY TRIATHLON,11-MS4,,0 days 05:23:51.000000000,,,
40,41,CAMBIEN JOEL,VMT,11-MS3,,0 days 05:24:54.000000000,,,
41,42,BARTHELEMY JEAN-CLAUDE,GRESIVAUDAN TRIATHLON,11-MV1,,0 days 05:25:47.000000000,,,
42,43,HEBERT JULIEN,SAINT AVERTIN SPORTS 37,5-MS2,,0 days 05:26:24.000000000,,,
43,44,POIZAT ERIC,TRIATHLON MACON CLUB,1-MV2,,0 days 05:27:19.000000000,,,
44,45,PHILIPPE XAVIER,ASVEL TRIATHLON,12-MS3,,0 days 05:27:29.000000000,,,
45,46,CARE SYLVAIN,SAVOIE TEAM TRIATHLON,12-MS4,,0 days 05:28:07.000000000,,,
46,47,SOUBOUL HICHAM,U.S.O. BEZONS,13-MS3,,0 days 05:28:10.000000000,,,
47,48,FER YVES,U.S.O. BEZONS,12-MV1,,0 days 05:28:25.000000000,,,
48,49,TRUANT BRUNO,TRIATHLON SANNOIS FRANCONVI,13-MS4,,0 days 05:28:49.000000000,,,
49,50,GAVOIS RICHARD,STADE LAURENTIN TRIATHLON,14-MS4,,0 days 05:29:27.000000000,,,
50,51,DEMARES JEAN GUILLAUME,LAGARDERE PARIS RACING,15-MS4,,0 days 05:29:36.000000000,,,
51,52,FRICONNET PATRICE,TRIATHLON CLUB TORCY,13-MV1,,0 days 05:29:45.000000000,,,
52,53,BUZZARELLO YANNICK,ECHIROLLES TRIATHLON,14-MS3,,0 days 05:29:56.000000000,,,
53,54,VIDBERG MANUEL,CLUB NAUTIQUE PONTARLIER TR,6-MS2,,0 days 05:30:05.000000000,,,
54,55,QUINTIN THIERRY,US PALAISEAU TRIATHLON,2-MV2,,0 days 05:30:08.000000000,,,
55,56,COLIN DENIS,CLUB NAUTIQUE PONTARLIER TR,15-MS3,,0 days 05:30:26.000000000,,,
56,57,DOMPTAIL LAURENT,TRI LION BELFORT,16-MS4,,0 days 05:30:58.000000000,,,
57,58,VENNEVAULT ALEX,TOULON TRIATHLON MUTUELLE V,3-MV3,,0 days 05:31:28.000000000,,,
58,59,VIOLLAND NICOLAS,A. L. ECHIROLLES,16-MS3,,0 days 05:31:33.000000000,,,
59,60,FLORIMONO ALEXANDRE,TRIATHLON NANCY LORRAINE,7-MS2,,0 days 05:31:37.000000000,,,
60,61,COURTIAL PHILIPPE,STADE FRANÇAIS TRIATHLON,3-MV2,,0 days 05:32:17.000000000,,,
61,62,BRION MATHIEU,ALE TRIATHLON,17-MS3,,0 days 05:33:39.000000000,,,
62,63,DEWAELE THOMAS,TRIATHLON CLUB TORCY,18-MS3,,0 days 05:34:01.000000000,,,
63,64,PICHON LIONEL,CHAMBERY TRIATHLON,19-MS3,,0 days 05:34:02.000000000,,,
64,65,COLLEMARE STAEPHANE,TRIALP MOIRANS,14-MV1,,0 days 05:35:03.000000000,,,
65,66,LEDOUX THOMAS,STADE FRANÇAIS TRIATHLON,20-MS3,,0 days 05:36:34.000000000,,,
66,67,SZYMEZAK PIERRE,ANNONAY TRIATHLON,21-MS3,,0 days 05:36:47.000000000,,,
67,68,HENTIC JEAN RENE,FREE IRON TEAM,15-MV1,,0 days 05:36:56.000000000,,,
68,69,MAMESSIER DAVID,TRI-COW-THLON71,8-MS2,,0 days 05:37:15.000000000,,,
69,70,HERAULT MATHIEU,TRI07 PRIVAS TRIATHLON,22-MS3,,0 days 05:37:22.000000000,,,
70,71,BERNE ANTHONY,MACH3 TRIATHLON,23-MS3,,0 days 05:37:50.000000000,,,
71,72,REVEL RENAUD,MACH 3 TRIATHLON,16-MV1,,0 days 05:37:50.000000000,,,
72,73,CARRE LIONEL,US PALAISEAU TRIATHLON,17-MV1,,0 days 05:38:32.000000000,,,
73,74,FERRAND CHRISTOPHE,CRV LYON TRIATHLON,17-MS4,,0 days 05:38:36.000000000,,,
74,75,MORETTO OLIVIER,ASMSE,4-MV2,,0 days 05:39:06.000000000,,,
75,76,CHATENET MARIAN,GUC TRIATHLON,18-MS4,,0 days 05:39:45.000000000,,,
76,77,DIDIER LIONEL,A. L. ECHIROLLES,18-MV1,,0 days 05:39:50.000000000,,,
77,78,LEFRANC DENIS,TRIATHLON MACON CLUB,5-MV2,,0 days 05:40:28.000000000,,,
78,79,COUSIN LAURENT,TRIATHLON VILLEFRANCHE SAON,19-MV1,,0 days 05:41:03.000000000,,,
79,80,ANDRIEU EMMANUEL,DIJON TRIATHLON,20-MV1,,0 days 05:41:52.000000000,,,
80,81,ALONSO ARNAUD,NON LICENCIE,19-MS4,,0 days 05:41:53.000000000,,,
81,82,MANIN LIONEL,ASVEL TRIATHLON,20-MS4,,0 days 05:42:20.000000000,,,
82,83,JACQUET LOIC,OULLTRIATHLON,21-MS4,,0 days 05:42:24.000000000,,,
83,84,JONDEAU EMMANUEL,TRIATHLON VILLEFRANCHE SAON,21-MV1,,0 days 05:42:36.000000000,,,
84,85,RUBILONI GILLES,CLUB NAUTIQUE PONTARLIER TR,6-MV2,,0 days 05:42:41.000000000,,,
85,86,TARDY BENOIT,LES MILLE PATTES TRIATHLON,7-MV2,,0 days 05:42:59.000000000,,,
86,87,BILLET JEAN-MARC,PALAISEAU,9-MS2,,0 days 05:43:06.000000000,,,
87,88,MOSSERON MERRI,VINEUIL SPORT TRIATHLON,22-MS4,,0 days 05:43:09.000000000,,,
88,89,BRISON CHRISTOPHE,MACH 3 TRIATHLON,22-MV1,,0 days 05:43:17.000000000,,,
89,90,PERES CHRISTOPHE,TSF95,23-MS4,,0 days 05:43:25.000000000,,,
90,91,BAPT GREGORY,OULLTRIATHLON,10-MS2,,0 days 05:43:40.000000000,,,
91,92,VEYRE JEAN PHILIPPE,COMITE SPORTIF DU LAC DES SAP,23-MV1,,0 days 05:43:58.000000000,,,
92,93,SALLIN PHILIPPE,ASVEL TRIATHLON,24-MV1,,0 days 05:44:18.000000000,,,
93,94,MOREL DAVID,TRI TOUL TEAM,24-MS4,,0 days 05:44:20.000000000,,,
94,95,PEYROT FREDERIC,TVSV,24-MS3,,0 days 05:45:26.000000000,,,
95,96,LAURENT OLIVIER,MACH 3 TRIATHLON,25-MS3,,0 days 05:45:57.000000000,,,
96,97,MARTY BENOIT,TEAM ANDURANCE 06,25-MV1,,0 days 05:46:53.000000000,,,
97,98,DELAUNAY FREDERIC,ANNONAY TRIATHLON,26-MV1,,0 days 05:47:17.000000000,,,
98,99,CHARITAT MICHEL,TRYSSINGEAUX,25-MS4,,0 days 05:47:44.000000000,,,
99,100,JOASSARD FRANCK,ASMSE,26-MS4,,0 days 05:48:44.000000000,,,
100,101,HIEBEL FREDERIC,SAINT PAUL - LA COLLE TRIATHLO,26-MS3,,0 days 05:48:45.000000000,,,
101,102,HATIN CORINNE,ASVEL TRIATHLON,1-FV1,,0 days 05:49:24.000000000,,,
102,103,DEL OLMO DIEZ SEBASTIEN,TRIATHLON DU SALEVE,27-MS4,,0 days 05:49:53.000000000,,,
103,104,L HOTHELLIER MATHIEU,ES NANTERRE,11-MS2,,0 days 05:50:31.000000000,,,
104,105,FENDELEUR MICKAEL,TRI LION BELFORT,27-MS3,,0 days 05:50:47.000000000,,,
105,106,CORSO GERARD,TRIATHLON SANNOIS FRANCONVI,8-MV2,,0 days 05:51:32.000000000,,,
106,107,PIERRET CHRISTOPHE,TRIATHLON MACON CLUB,9-MV2,,0 days 05:51:43.000000000,,,
107,108,HAMELIN CYRIL,TRIATHLON CLUB DE VILLEPARISI,28-MS3,,0 days 05:51:45.000000000,,,
108,109,FERNANDEZ ALAIN,U.S.O. BEZONS,27-MV1,,0 days 05:51:53.000000000,,,
109,110,DESBARATS THIERRY,LOURDES TRIATHLON,10-MV2,,0 days 05:52:03.000000000,,,
110,111,MICOUD FABRICE,A. L. ECHIROLLES TRIATHLON,28-MS4,,0 days 05:52:10.000000000,,,
111,112,LANGUET BRUNO,MACH 3 TRIATHLON,28-MV1,,0 days 05:52:13.000000000,,,
112,113,DALLA-BARBA PATRICK,ISTRES SPORT TRIATHLON,1-MV4,,0 days 05:52:19.000000000,,,
113,114,RICHARD ALEXANDRE,ORLEANAIS TRIATHLON CLUB 45,29-MS4,,0 days 05:52:34.000000000,,,
114,115,BASSETTO JEAN MARC,TRIATHLON DU SALÈVE,11-MV2,,0 days 05:52:46.000000000,,,
115,116,JACQUIER LUC,LES MILLE PATTES TRIATHLON,4-MV3,,0 days 05:52:56.000000000,,,
