,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,SABY YOHAN,TRICASTIN TRI,Séniors1,M,0 days 01:12:02.000000000,,,
1,2,DUCHAMPT JEAN,MONTLUCON,Juniors,M,0 days 01:12:16.000000000,,,
2,3,LOHIER THOMAS,VALENCE,Cadets,M,0 days 01:13:36.000000000,,,
3,4,LAMBOLEZ AUDRIC,EC,Séniors1,M,0 days 01:13:55.000000000,,,
4,5,MARGIRIER MATHIS,TRI07 PRIVAS,Cadets,M,0 days 01:13:57.000000000,,,
5,6,MENNESSON MAXIME,VALENCE,Cadets,M,0 days 01:14:46.000000000,,,
6,7,BROHEZ PIERRE,NOYON,Séniors 2,M,0 days 01:16:08.000000000,,,
7,8,DEBARD THÉO,TRI,Juniors,M,0 days 01:16:42.000000000,,,
8,9,CHARRE THÉO,TRICASTIN TRI,Juniors,M,0 days 01:17:00.000000000,,,
9,10,JOUFFRET SÉBASTIEN,MONTELIMAR,Séniors 3,M,0 days 01:17:08.000000000,,,
10,11,CHAMBON BORIS,VERSAILLES,Séniors 3,M,0 days 01:17:53.000000000,,,
11,12,PLANEL EDOUARD,TRI07 PRIVAS,Séniors1,M,0 days 01:19:04.000000000,,,
12,13,BERTRAND NICOLAS,TRI,Séniors1,M,0 days 01:19:47.000000000,,,
13,14,MENNESSON MATTHIEU,VALENCE,Vétérans 1,M,0 days 01:20:07.000000000,,,
14,15,MARTEL JÉRÔME,GUILHERAND,Vétérans 1,M,0 days 01:20:26.000000000,,,
15,16,KAPELL PIERRE,VALENCE,Cadets,M,0 days 01:20:39.000000000,,,
16,17,KAUP MATÉO,ECHIROLLES,Séniors 2,M,0 days 01:22:09.000000000,,,
17,18,HAMONIC HUGO,MONTLUCON,Juniors,M,0 days 01:22:28.000000000,,,
18,19,PERIN MORGAN,GUILHERAND,Séniors 2,M,0 days 01:22:59.000000000,,,
19,20,PERCELAY GRÉGOIRE,TRIALP,Séniors 4,M,0 days 01:23:32.000000000,,,
20,21,AYMARD CHARLES,CVC TRI,Séniors1,M,0 days 01:24:41.000000000,,,
21,22,VIDAL THIBAUD,VALLONS DE,Séniors1,M,0 days 01:25:11.000000000,,,
22,23,DJOUARI MAXIME,TRI 07,Séniors1,M,0 days 01:25:34.000000000,,,
23,24,MOSSLER JOMANN,TRIATHLON,Séniors 2,M,0 days 01:26:02.000000000,,,
24,25,BERTRAND FABRICE,LEMAN,Vétérans 2,M,0 days 01:26:13.000000000,,,
25,26,VALGALIER STÉPHANE,CS COUXOIS,Vétérans 1,M,0 days 01:26:46.000000000,,,
26,27,NOASCONE KEVIN,RILLIEUX,Séniors 3,M,0 days 01:26:50.000000000,,,
27,28,PUAUX FRÉDÉRIC,ANNONAY,Vétérans 1,M,0 days 01:27:01.000000000,,,
28,29,RIOU SERGE,NON LICENCIE,Vétérans 2,M,0 days 01:27:18.000000000,,,
29,30,LEROUX SIMON,CRV LYON,Séniors 2,M,0 days 01:27:54.000000000,,,
30,31,VERNET SÉBASTIEN,NOYON,Séniors 4,M,0 days 01:28:09.000000000,,,
31,32,REVILLARD GHISLAIN,GUILHERAND,Séniors 4,M,0 days 01:28:19.000000000,,,
32,33,FAUVEAUX JULIEN,VERSAILLES,Séniors 3,M,0 days 01:28:35.000000000,,,
33,34,GAILHOT JONATHAN,VALLONS DE,Séniors1,M,0 days 01:28:46.000000000,,,
34,35,COSSON BAPTISTE,TRAIL,Séniors 2,M,0 days 01:28:54.000000000,,,
35,36,CHALÉAT ETIENNE,VELO CLUB,Séniors 2,M,0 days 01:29:10.000000000,,,
36,37,FONTAINE SERGE,MACH3,Vétérans 4,M,0 days 01:29:16.000000000,,,
37,38,OLLIER STÉPHANE,COURBEVOIE,Vétérans 2,M,0 days 01:29:23.000000000,,,
38,39,ALLIBERT NICOLAS,GUILHERAND,Séniors 4,M,0 days 01:29:32.000000000,,,
39,40,MUELLER GEROLD,TRI,Vétérans 4,M,0 days 01:29:41.000000000,,,
40,41,ROUSSET HUGUES,TC2R,Vétérans 1,M,0 days 01:29:49.000000000,,,
41,42,GUYONNE VINCENT,VERSAILLES,Séniors 3,M,0 days 01:29:51.000000000,,,
42,43,DARRAS EMILIE,NOYON,Séniors 2,F,0 days 01:29:57.000000000,,,
43,44,DARRAS NATHALIE,NOYON,Séniors 3,F,0 days 01:30:03.000000000,,,
44,45, JEAN-DANIEL,VITTEL TRI,Vétérans 1,M,0 days 01:31:02.000000000,,,
45,46,ALLAGNAT HUGOLINE,VALLONS DE,Cadets,F,0 days 01:31:05.000000000,,,
46,47,BÉRARD SÉBASTIEN,ST,Séniors 2,M,0 days 01:31:19.000000000,,,
47,48,THERON CLÉMENT,VALLONS DE,Séniors 3,M,0 days 01:31:52.000000000,,,
48,49,OLLIER LUTHER,COURBEVOIE,Cadets,M,0 days 01:32:28.000000000,,,
49,50,SANIAL JEAN-MICHEL,NON LICENCIE,Vétérans 1,M,0 days 01:33:11.000000000,,,
50,51,PICARD WILLIAM,NON LICENCIE,Séniors 2,M,0 days 01:34:10.000000000,,,
51,52,BOSC LUDOVIC,NON LICENCIE,Séniors 4,M,0 days 01:34:12.000000000,,,
52,53,SERRANO ANDRÉ,ANNONAY,Vétérans 2,M,0 days 01:34:17.000000000,,,
53,54,MAAG MICHAEL,METTMAN,Vétérans 3,M,0 days 01:34:33.000000000,,,
54,55,MASALA HERVÉ,TRIATHLON,Vétérans 2,M,0 days 01:34:42.000000000,,,
55,56,PERRIER MICHEL,VALENCE,Vétérans 3,M,0 days 01:35:01.000000000,,,
56,57,FERNANDEZ ERIC,TRI07,Vétérans 1,M,0 days 01:35:19.000000000,,,
57,58,SEGURA CHRISTOPHE,RILLIEUX,Vétérans 1,M,0 days 01:35:27.000000000,,,
58,59,PIQUET LAURENT,MACH3,Vétérans 3,M,0 days 01:35:35.000000000,,,
59,60,EGLAINE SÉBASTIEN,VALENCE,Vétérans 1,M,0 days 01:35:42.000000000,,,
60,61,DURUPT STÉPHANE,NON LICENCIE,Vétérans 2,M,0 days 01:35:46.000000000,,,
61,62,LEBETTE FLORIAN,TRIATHLON,Séniors 3,M,0 days 01:36:10.000000000,,,
62,63,NOËL MICHAËL,NON LICENCIE,Vétérans 1,M,0 days 01:36:26.000000000,,,
63,64,LATAPY PHILIPPE,TRI07,Vétérans 2,M,0 days 01:36:33.000000000,,,
64,65,THENARD CLÉMENT,TRI 07,Séniors1,M,0 days 01:36:38.000000000,,,
65,66,OBATON ERIC,ST PRIEST TRI,Vétérans 2,M,0 days 01:36:45.000000000,,,
66,67,MATERA CLARA,NON LICENCIE,Séniors 2,F,0 days 01:37:09.000000000,,,
67,68,MAISONNIAC VINCENT,NON LICENCIE,Séniors 3,M,0 days 01:37:20.000000000,,,
68,69,MÉSONA DIDIER,VALENCE,Vétérans 3,M,0 days 01:37:45.000000000,,,
69,70,MATHIEU QUENTIN,NON LICENCIE,Séniors1,M,0 days 01:38:46.000000000,,,
70,71,GAGNAIRE SÉBASTIEN,NON LICENCIE,Séniors 4,M,0 days 01:39:25.000000000,,,
71,72,BERTRAND FRÉDÉRIC,LEMAN,Vétérans 3,M,0 days 01:39:39.000000000,,,
72,73,GENAUDET NICOLAS,NON LICENCIE,Séniors 2,M,0 days 01:39:55.000000000,,,
73,74,VUILLERMET ILIA,CRV LYON,Cadets,M,0 days 01:40:24.000000000,,,
74,75,MÉTRAL DAVID,LA PETITE,Vétérans 1,M,0 days 01:40:27.000000000,,,
75,76,BOULEAU JEAN-PIERRE,GUILHERAND,Vétérans 5,M,0 days 01:40:39.000000000,,,
76,77,COPPEL CAROLINE,NON LICENCIE,Vétérans 1,F,0 days 01:40:46.000000000,,,
77,78,PRADAL PHILIPPE,SORGUES,Vétérans 2,M,0 days 01:40:51.000000000,,,
78,79,MARGIRIER ALAIN,MONTELIMAR,Vétérans 4,M,0 days 01:40:57.000000000,,,
79,80,VIDAL AURORE,VALENCE,Séniors 2,F,0 days 01:41:21.000000000,,,
80,81,BROCARD EMILIE,ECHIROLLES,Séniors 2,F,0 days 01:41:38.000000000,,,
81,82,JOB CHRISTOPHE,SAINTE,Séniors 4,M,0 days 01:41:41.000000000,,,
82,83,GAMACHE GUILLAUME,NON LICENCIE,Séniors1,M,0 days 01:41:57.000000000,,,
83,84,DURIEUX JOËL,VALENCE,Vétérans 5,M,0 days 01:42:26.000000000,,,
84,85,LATAPY GWENAELLE,TRI07,Vétérans 1,F,0 days 01:43:10.000000000,,,
85,86,MANDON FABRICE,CHATOU,Vétérans 3,M,0 days 01:43:36.000000000,,,
86,87,OUIZMAN GAËL,GUILHERAND,Séniors 2,M,0 days 01:44:09.000000000,,,
87,88,CASSEGRAIN ADRIEN,NON LICENCIE,Séniors1,M,0 days 01:44:10.000000000,,,
88,89,MAURIN LOÏC,NON LICENCIE,Cadets,M,0 days 01:44:30.000000000,,,
89,90,GUEZE SÉBASTIEN,NON LICENCIE,Séniors 4,M,0 days 01:44:41.000000000,,,
90,91,TAVENARD TRISTAN,RILLIEUX,Séniors 3,M,0 days 01:44:54.000000000,,,
91,92,ROC AGNÈS,GUILHERAND,Vétérans 3,F,0 days 01:45:35.000000000,,,
92,93,MAURIN YVES,NON LICENCIE,Cadets,M,0 days 01:46:41.000000000,,,
93,94,REY PASCAL,NON LICENCIE,Vétérans 1,M,0 days 01:46:49.000000000,,,
94,95,VACALUS DAMIEN,NON LICENCIE,Séniors 3,M,0 days 01:47:28.000000000,,,
95,96,CHANAL PATRICK,NON LICENCIE,Vétérans 5,M,0 days 01:47:29.000000000,,,
96,97,CHAUSSINAND YVAN,NON LICENCIE,Vétérans 3,M,0 days 01:47:45.000000000,,,
97,98,OZ-UZUN GUILLAUME,NON LICENCIE,Séniors 2,M,0 days 01:48:04.000000000,,,
98,99,CORONNEL ANAÏS,NON LICENCIE,Séniors 1,F,0 days 01:48:06.000000000,,,
99,100,IAPTEFF REMY,NON LICENCIE,Séniors 2,M,0 days 01:48:17.000000000,,,
100,101,COURBON JÉRÉMIE,NON LICENCIE,Séniors 2,M,0 days 01:48:27.000000000,,,
101,102,ROCHON AURÉLIE,TRI,Séniors 4,F,0 days 01:48:36.000000000,,,
102,103, JEAN-MARC,CRV LYON,Vétérans 6,M,0 days 01:48:46.000000000,,,
103,104,ANSELM ERIC,NON LICENCIE,Séniors 2,M,0 days 01:48:47.000000000,,,
104,105,MICOUD CLAUDE,CHATILLON ST,Vétérans 2,M,0 days 01:48:57.000000000,,,
105,106, CHRISTINE,TRI,Vétérans 2,M,0 days 01:49:14.000000000,,,
106,107,BOYER VALÉRIE,TRI 07,Vétérans 2,F,0 days 01:49:39.000000000,,,
107,108,MICHALZYK MARC,TRI07 PRIVAS,Vétérans 4,M,0 days 01:49:51.000000000,,,
108,109,AGARD PAUL,NON LICENCIE,Juniors,M,0 days 01:50:24.000000000,,,
109,110,OLIVIER YANN,COTE D AZUR,Vétérans 2,M,0 days 01:50:56.000000000,,,
110,111,TEYSSOT BASTIEN,NON LICENCIE,Séniors1,M,0 days 01:52:01.000000000,,,
111,112,FOURNIER VINCENT,NON LICENCIE,Séniors1,M,0 days 01:52:10.000000000,,,
112,113, JEAN-BERNARD,CROCOS,Vétérans 4,M,0 days 01:52:10.000000000,,,
113,114,BONNARDEL PATRICK,VALENCE,Vétérans 3,M,0 days 01:52:19.000000000,,,
114,115,TREMOUILHAC PIERRE,NON LICENCIE,Séniors 2,M,0 days 01:52:23.000000000,,,
115,116,RIBON CHRISTOPHE,TOULOUSE,Vétérans 2,M,0 days 01:52:58.000000000,,,
116,117,VALLON CHRISTOPHE,NON LICENCIE,Vétérans 2,M,0 days 01:53:04.000000000,,,
117,118,SOUBEYRAND CLAUDE,NON LICENCIE,Vétérans 1,M,0 days 01:53:19.000000000,,,
118,119,TOUREAU PHILIPPE,TRI 07,Vétérans 4,M,0 days 01:53:33.000000000,,,
119,120,FARCY MALLORY,TRI07 PRIVAS,Vétérans 2,F,0 days 01:53:53.000000000,,,
120,121,CHAINE PAUL,NON LICENCIE,Séniors 4,M,0 days 01:54:15.000000000,,,
121,122,REINHART LEX,NING MUI,Vétérans 3,M,0 days 01:54:29.000000000,,,
122,123,DELEAGE NICOLAS,LES,Séniors 2,M,0 days 01:54:53.000000000,,,
123,124,APELIAN PATRICK,PARIS,Vétérans 2,M,0 days 01:54:57.000000000,,,
124,125,BOREL BRUNO,VALLONS DE,Vétérans 4,M,0 days 01:54:59.000000000,,,
125,126,AGARD LIONEL,NON LICENCIE,Vétérans 3,M,0 days 01:55:47.000000000,,,
126,127,GRAU NORBERT,VALENCE,Vétérans 6,M,0 days 01:57:05.000000000,,,
127,128,COURBON RÉGIS,NON LICENCIE,Séniors 3,M,0 days 01:57:48.000000000,,,
128,129,CASSEGRAIN HECTOR,NON LICENCIE,Séniors1,M,0 days 01:58:01.000000000,,,
129,130,LAMBERT BRUNO,VALENCE,Vétérans 4,M,0 days 01:58:59.000000000,,,
130,131,ANSELMO DENIS,FREE IRON,Vétérans 2,M,0 days 02:00:05.000000000,,,
131,132, GUILLAUME,NON LICENCIE,Séniors 4,M,0 days 02:01:08.000000000,,,
132,133,PLANTIER GREGORY,NON LICENCIE,Séniors 4,M,0 days 02:01:58.000000000,,,
133,134,MAZOYER OLIVIER,NON LICENCIE,Vétérans 1,M,0 days 02:02:08.000000000,,,
134,135,CHAMPION BERNARD,MONTELIMAR,Vétérans 2,M,0 days 02:02:51.000000000,,,
135,136,CASSEGRAIN JEAN,NON LICENCIE,Vétérans 2,M,0 days 02:03:10.000000000,,,
136,137,CHAMBON NADÈGE,VERSAILLES,Séniors 3,F,0 days 02:03:14.000000000,,,
137,138,MARIN CAROLE,NON LICENCIE,Vétérans 1,F,0 days 02:04:05.000000000,,,
138,139,ALLAGNAT MARJORIE,VALLONS DE,Vétérans 1,F,0 days 02:04:50.000000000,,,
139,140,CAMARD DOMINIQUE,BOURG EN,Vétérans 5,M,0 days 02:05:32.000000000,,,
140,141,DUMEL PHILIPPE,NON LICENCIE,Vétérans 4,M,0 days 02:07:31.000000000,,,
141,142, EMMANUEL,NON LICENCIE,Séniors 4,M,0 days 02:07:38.000000000,,,
142,143,BEAUGENDRE NICOLAS,NON LICENCIE,Séniors 4,M,0 days 02:08:24.000000000,,,
143,144,REYNE RÉMI,NON LICENCIE,Cadets,M,0 days 02:10:13.000000000,,,
144,145,GABLIER GREGORY,TAIN,Séniors 3,M,0 days 02:10:27.000000000,,,
145,146,BOUIT RAYMOND,NON LICENCIE,Vétérans 5,M,0 days 02:10:42.000000000,,,
146,147,FILIATRE LIONEL,NON LICENCIE,Vétérans 1,M,0 days 02:11:53.000000000,,,
147,148,CAMINOTTO GHISLAINE,GUC TRI,Vétérans 4,F,0 days 02:17:42.000000000,,,
148,149,CORNU CHRISTELLE,NON LICENCIE,Vétérans 1,F,0 days 02:20:12.000000000,,,
149,150,TEZZELE SERGE,LES DAHUS DU,Vétérans 5,M,0 days 02:27:44.000000000,,,
