,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,DON TIM,TEAM TBB,1-HOMME AGE INCONNU,M,0 days 01:49:40.000000000,0 days 00:14:10.000000000,0 days 01:09:50.000000000,0 days 00:24:05.000000000
1,2,LOY JULIEN,AL ECHIROLLESTRIATHLON,2-HOMME AGE INCONNU,M,0 days 01:50:53.000000000,0 days 00:14:17.000000000,0 days 01:09:38.000000000,0 days 00:24:57.000000000
2,3,DELLOW DAVE,NON LICENCIE,1-SENIORS 3 HOMMES,M,0 days 01:54:51.000000000,0 days 00:14:15.000000000,0 days 01:12:58.000000000,0 days 00:25:56.000000000
3,4,BRUSTOLON DANIELO,NON LICENCIE,3-HOMME AGE INCONNU,M,0 days 01:55:52.000000000,0 days 00:14:57.000000000,0 days 01:12:48.000000000,0 days 00:26:10.000000000
4,5,SALVISBERG ANDREAS,TEAM TBB,4-HOMME AGE INCONNU,M,0 days 01:56:25.000000000,0 days 00:13:48.000000000,0 days 01:13:40.000000000,0 days 00:26:57.000000000
5,6,SALVISBERG FLORIAN,TEAM TBB,5-HOMME AGE INCONNU,M,0 days 01:57:23.000000000,0 days 00:13:47.000000000,0 days 01:13:36.000000000,0 days 00:28:06.000000000
6,7,JURKIEWICZ JÉRÉMY,OLYMPIQUE NICE NATATION,1-SENIORS 1 HOMMES,M,0 days 01:58:05.000000000,0 days 00:14:11.000000000,0 days 01:15:22.000000000,0 days 00:26:38.000000000
7,8,VON BERG RODOLPHE,TRISTARS DE CANNES,1-JUNIORS HOMMES,M,0 days 01:59:17.000000000,0 days 00:15:56.000000000,0 days 01:14:59.000000000,0 days 00:26:20.000000000
8,9,SPIRIG NICOLA,TEAM TBB,1-FEMME AGE INCONNU,F,0 days 01:59:24.000000000,0 days 00:14:55.000000000,0 days 01:15:09.000000000,0 days 00:27:31.000000000
9,10,MAC CARTNEY KRISTIAN,SAINT RAPHAËL TRIATHLON,6-HOMME AGE INCONNU,M,0 days 01:59:41.000000000,0 days 00:14:53.000000000,0 days 01:16:29.000000000,0 days 00:26:33.000000000
10,11,METS TOM,ATRIAC,2-SENIORS 1 HOMMES,M,0 days 01:59:57.000000000,0 days 00:14:59.000000000,0 days 01:14:47.000000000,0 days 00:27:59.000000000
11,12,GODOY CESC,NON LICENCIE,1-SENIORS 2 HOMMES,M,0 days 02:00:37.000000000,0 days 00:13:50.000000000,0 days 01:15:59.000000000,0 days 00:28:58.000000000
12,13,SHAW KARL,SAINT RAPHAËL TRIATHLON,7-HOMME AGE INCONNU,M,0 days 02:01:16.000000000,0 days 00:14:14.000000000,0 days 01:16:03.000000000,0 days 00:28:34.000000000
13,14,CASADEI ALBERTO,NON LICENCIE,8-HOMME AGE INCONNU,M,0 days 02:01:45.000000000,0 days 00:14:12.000000000,0 days 01:19:31.000000000,0 days 00:26:20.000000000
14,15,HOLVOET RINUS,ENERGT TEAM ZUIDWEST,3-SENIORS 1 HOMMES,M,0 days 02:01:50.000000000,0 days 00:15:35.000000000,0 days 01:15:43.000000000,0 days 00:27:50.000000000
15,16,ZAMORA MARCEL,NON LICENCIE,9-HOMME AGE INCONNU,M,0 days 02:01:57.000000000,0 days 00:15:08.000000000,0 days 01:17:57.000000000,0 days 00:26:47.000000000
16,17,AUPAIX LAURENT,TRI GT,4-SENIORS 1 HOMMES,M,0 days 02:03:07.000000000,0 days 00:15:31.000000000,0 days 01:15:43.000000000,0 days 00:29:46.000000000
17,18,VAN DER LINDEN ERIC,NON LICENCIE,1-SENIORS 4 HOMMES,M,0 days 02:03:20.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0 days 00:00:00.000000000
18,19,GINTRAND GUILLAUME,CLUB DES NAGEURS DE PARIS,2-SENIORS 2 HOMMES,M,0 days 02:03:49.000000000,0 days 00:17:37.000000000,0 days 01:16:06.000000000,0 days 00:27:49.000000000
19,20,JOUSSEMET JÉROME,T.C.G 79 PARTENEY,2-SENIORS 4 HOMMES,M,0 days 02:03:57.000000000,0 days 00:15:34.000000000,0 days 01:19:34.000000000,0 days 00:26:31.000000000
20,21,DUQUESNOY DAVID,ECA CHAUMONT TRIATHLON DUATHLON,2-SENIORS 3 HOMMES,M,0 days 02:05:13.000000000,0 days 00:22:18.000000000,0 days 01:12:43.000000000,0 days 00:26:43.000000000
