,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,DEL CORRAL VICTOR,ESPAGNE,1-M,M,0 days 05:50:12.000000000,0 days 00:33:00.000000000,0 days 03:52:31.000000000,0 days 01:21:30.000000000
1,2,RETO HUG,TEAM TBB  SUISSE,1-MS4,M,0 days 05:56:16.000000000,0 days 00:27:30.000000000,0 days 04:00:30.000000000,0 days 01:25:53.000000000
2,3,FARLOW AARON,TEAM TBB  AUSTRALIE,1-MS3,M,0 days 05:59:03.000000000,0 days 00:27:24.000000000,0 days 03:56:16.000000000,0 days 01:32:13.000000000
3,4,MARCUS ORNELLAS,BRÉSIL,2-M,M,0 days 06:01:05.000000000,0 days 00:28:32.000000000,0 days 03:59:01.000000000,0 days 01:30:24.000000000
4,5,FAURE HERVÉ,VITROLLES TRIATHLON  FRANCE,2-MS3,M,0 days 06:02:12.000000000,0 days 00:28:34.000000000,0 days 03:57:23.000000000,0 days 01:33:27.000000000
5,6,CUNNAMA JAMES,TEAM TBB  AFRIQUE DU SUD,1-MS2,M,0 days 06:03:01.000000000,0 days 00:29:18.000000000,0 days 03:51:25.000000000,0 days 01:39:08.000000000
6,7,ANNOVAZZI MATTEO,PEPERONCINO TRIATHLON TEAM  IT,2-MS4,M,0 days 06:06:54.000000000,0 days 00:30:03.000000000,0 days 03:57:10.000000000,0 days 01:35:58.000000000
7,8,VAN HOUTEM TIMOTHY,DTTA TEAM ASSE  BELGIQUE,2-MS2,M,0 days 06:07:56.000000000,0 days 00:34:52.000000000,0 days 03:58:23.000000000,0 days 01:31:19.000000000
8,9,MARCEAU OLIVIER,SAINT RAPHAËL TRIATHLON  SUISS,3-MS4,M,0 days 06:08:58.000000000,0 days 00:28:28.000000000,0 days 04:02:35.000000000,0 days 01:35:12.000000000
9,10,STRIJK ERIK SIMON,TRIATHLON CLUB ALPHEN AAN DEN,3-MS2,M,0 days 06:10:28.000000000,0 days 00:30:04.000000000,0 days 04:03:27.000000000,0 days 01:33:43.000000000
10,11,REHULA JAN,NON LICENCIE,3-M,M,0 days 06:13:33.000000000,0 days 00:27:26.000000000,0 days 04:09:42.000000000,0 days 01:33:43.000000000
