,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
48,49,SIMON BENOIT,AUTUN TRIATHLON,V1M (11),M,0 days 02:46:32.000000000,0 days 00:28:06.000000000,0 days 01:20:36.000000000,0 days 00:57:50.000000000
49,50,ROUSSEAU GRÉGORY,RILLIEUX TRIATHLON,V1M (12),M,0 days 02:46:48.000000000,0 days 00:27:33.000000000,0 days 01:20:15.000000000,0 days 00:59:01.000000000
50,51,TONINI MARC,TRIATHLON VILLEFRANCHE SAONE VALLEE,V1M (13),M,0 days 02:46:48.000000000,0 days 00:29:37.000000000,0 days 01:21:02.000000000,0 days 00:56:10.000000000
51,52,PIQUET LAURENT,MACH 3 TRIATHLON,V3M (2),M,0 days 02:47:36.000000000,0 days 00:27:03.000000000,0 days 01:19:37.000000000,0 days 01:00:58.000000000
52,53,SKORA SÉBASTIEN,ASM SAINT-ETIENNE TRI 42,S4M (8),M,0 days 02:48:34.000000000,0 days 00:31:08.000000000,0 days 01:16:34.000000000,0 days 01:00:53.000000000
53,54,PETRE YOHAN,LEMPDES 63 TRIATHLON,S4M (9),M,0 days 02:48:37.000000000,0 days 00:24:16.000000000,0 days 01:20:54.000000000,0 days 01:03:28.000000000
54,55,PIGNOL CHRISTOPHE,MONTBRISON TRIATHLON,V1M (14),M,0 days 02:49:11.000000000,0 days 00:28:33.000000000,0 days 01:19:02.000000000,0 days 01:01:36.000000000
55,56,FUMEAU LIONEL,TRIATHLON VILLEFRANCHE SOANE VALLEE,V4M (3),M,0 days 02:49:30.000000000,0 days 00:26:27.000000000,0 days 01:22:22.000000000,0 days 01:00:42.000000000
56,57,GRAYEL LOUIS,FEURS TRIATHLON,JUM (1),M,0 days 02:49:49.000000000,,0 days 03:04:05.000000000,0 days 02:23:34.000000000
57,58,BOUDET NICOLAS,NON LICENCIE,V1M (15),M,0 days 02:49:53.000000000,0 days 00:32:29.000000000,0 days 01:21:25.000000000,0 days 00:55:59.000000000
58,59,MAXIME JANVIER,GUC TRIATHLON,S2M (3),M,0 days 02:50:06.000000000,0 days 00:25:59.000000000,0 days 01:16:44.000000000,0 days 01:07:24.000000000
59,60,SERAUT OLIVIER,VAULX EN VELIN TRIATHLON,V2M (6),M,0 days 02:51:14.000000000,0 days 00:27:21.000000000,0 days 01:19:26.000000000,0 days 01:04:27.000000000
60,61,MILLOT MAXIME,CREUSOT TRIATHLON,S4M (10),M,0 days 02:51:25.000000000,0 days 00:31:16.000000000,0 days 01:26:01.000000000,0 days 00:54:08.000000000
61,62,PASCAL PAJOT,AS GIEN NATATION SECTION TRIATHLON,V2M (7),M,0 days 02:51:30.000000000,0 days 00:30:53.000000000,0 days 01:18:56.000000000,0 days 01:01:42.000000000
62,63,LACHAL PHILIPPE,COMITE SPORTIF DU LAC DES SAPINS,V1M (16),M,0 days 02:51:32.000000000,0 days 00:27:20.000000000,0 days 01:18:46.000000000,0 days 01:05:26.000000000
63,64,VELIEN JEROME,RILLIEUX TRIATHLON,S3M (11),M,0 days 02:52:39.000000000,0 days 00:31:34.000000000,0 days 01:23:02.000000000,0 days 00:58:04.000000000
64,65,HERRY OLIVIER,TOBESPORT,S1M (10),M,0 days 02:52:53.000000000,0 days 00:28:12.000000000,0 days 01:24:03.000000000,0 days 01:00:39.000000000
65,66,ROUQUIER STÉPHANE,RILLIEUX TRIATHLON,S4M (11),M,0 days 02:53:04.000000000,0 days 00:31:57.000000000,0 days 01:20:16.000000000,0 days 01:00:52.000000000
66,67,SIMONOT LAURENT,RILLIEUX TRIATHLON,V2M (8),M,0 days 02:53:39.000000000,0 days 00:27:13.000000000,0 days 01:26:09.000000000,0 days 01:00:18.000000000
67,68,BOEUF JULIEN,MACH3 TRIATHLON,S1M (11),M,0 days 02:54:18.000000000,0 days 00:29:23.000000000,0 days 01:22:29.000000000,0 days 01:02:27.000000000
68,69,JOUSSET DAVID,RILLIEUX TRIATHLON,S4M (12),M,0 days 02:55:51.000000000,0 days 00:38:29.000000000,0 days 01:21:31.000000000,0 days 00:55:52.000000000
69,70,DROUARD MARC,CORMARIS TRIATHLON,V1M (17),M,0 days 02:56:11.000000000,0 days 00:36:36.000000000,0 days 01:23:55.000000000,0 days 00:55:41.000000000
70,71,SOTTILE AURELIEN,NON LICENCIE,S2M (4),M,0 days 02:56:59.000000000,0 days 00:24:45.000000000,0 days 01:28:17.000000000,0 days 01:03:59.000000000
71,72,DEGRUSON SAMUEL,RILLIEUX TRIATHLON,V1M (18),M,0 days 02:57:27.000000000,0 days 00:30:13.000000000,0 days 01:20:08.000000000,0 days 01:07:06.000000000
72,73,PICHON JEAN-FRANCOIS,ASVEL TRI,V3M (3),M,0 days 02:57:44.000000000,0 days 00:26:45.000000000,0 days 01:29:32.000000000,0 days 01:01:28.000000000
73,74,DIDELET SEBASTIEN,RILLIEUX TRIATHLON,S4M (13),M,0 days 02:58:03.000000000,0 days 00:28:31.000000000,0 days 01:24:17.000000000,0 days 01:05:16.000000000
74,75,CHAUFFERIN GILLES,CRV LYON TRIATHLON,V3M (4),M,0 days 02:58:04.000000000,0 days 00:31:07.000000000,0 days 01:22:42.000000000,0 days 01:04:16.000000000
75,76,URTH BRUNO,ASMSE TRI 42,V3M (5),M,0 days 02:58:38.000000000,0 days 00:29:30.000000000,0 days 01:26:22.000000000,0 days 01:02:46.000000000
76,77,LECOSSOIS MARC,TRIATHLON CLUB DES MONTS DU LYONNAIS,V1M (19),M,0 days 02:59:11.000000000,0 days 00:35:01.000000000,0 days 01:23:43.000000000,0 days 01:00:28.000000000
77,78,NOYON CYRIL,ASMSAINT ETIENNE TRIATHLON 42,S4M (14),M,0 days 02:59:28.000000000,0 days 00:28:17.000000000,0 days 01:21:03.000000000,0 days 01:10:09.000000000
78,79,CASTET CHRISTIAN,RILLIEUX TRIATHLON,V2M (9),M,0 days 02:59:32.000000000,0 days 00:44:58.000000000,0 days 01:20:56.000000000,0 days 00:53:39.000000000
79,80,MERZAQ ISMAEL,RILLIEUX TRIATHLON,S2M (5),M,0 days 03:01:04.000000000,0 days 00:29:11.000000000,0 days 01:29:23.000000000,0 days 01:02:31.000000000
80,81,HERMENT CHRISTOPHE,FREE IRON TEAM,V2M (10),M,0 days 03:01:57.000000000,0 days 00:33:34.000000000,0 days 01:25:05.000000000,0 days 01:03:19.000000000
81,82,CHATARD JEAN-CLAUDE,ASMSAINT-ETIENNE TRIATHLON 42,V5M (1),M,0 days 03:02:06.000000000,0 days 00:23:04.000000000,0 days 01:27:18.000000000,0 days 01:11:45.000000000
82,83,GAUDIN STEPHANE,MONTCEAU TRIATHLON,S4M (15),M,0 days 03:02:39.000000000,0 days 00:32:43.000000000,0 days 01:30:01.000000000,0 days 00:59:56.000000000
83,84,ROGER PASCAL,CAIR RILLIEUX TRIATLHON,V4M (4),M,0 days 03:04:17.000000000,0 days 00:34:42.000000000,0 days 01:31:16.000000000,0 days 00:58:20.000000000
84,85,ARCHER DOMINIQUE,RILLEUX TRIATHLON,V1M (20),M,0 days 03:06:10.000000000,0 days 00:32:31.000000000,0 days 01:31:33.000000000,0 days 01:02:07.000000000
85,86,PETRE CYRIL,LEMPDES 63 TRIATHLON,S4M (16),M,0 days 03:06:19.000000000,0 days 00:24:24.000000000,0 days 01:27:48.000000000,0 days 01:14:08.000000000
86,87,SEGURA CHRISTOPHE,RILLIEUX TRIATHLON,V1M (21),M,0 days 03:06:44.000000000,0 days 00:27:36.000000000,0 days 01:34:54.000000000,0 days 01:04:14.000000000
87,88,MOULIN HUBERT,ASMSE TRI 42,V3M (6),M,0 days 03:07:03.000000000,0 days 00:30:28.000000000,0 days 01:29:10.000000000,0 days 01:07:26.000000000
88,89,BERTAUX FABIEN,CRV LYON TRIATHLON,V3M (7),M,0 days 03:07:29.000000000,0 days 00:32:18.000000000,0 days 01:32:59.000000000,0 days 01:02:13.000000000
89,90,RAPY ALAIN,BOURG EN BRESSE THRIATHLON,V5M (2),M,0 days 03:08:56.000000000,0 days 00:36:34.000000000,0 days 01:28:27.000000000,0 days 01:03:56.000000000
