,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
151,152,MORAINE MARC,NON LICENCIE,67-SENIOR HOMME,M,0 days 01:33:45.000000000,,,
152,153,EGERVARI KRISTOF,NON LICENCIE,68-SENIOR HOMME,M,0 days 01:33:48.000000000,,,
153,154,PALOC BORIS,NON LICENCIE,50-VETERAN HOMME,M,0 days 01:33:51.000000000,,,
154,155,TRIER MARK,NON LICENCIE,51-VETERAN HOMME,M,0 days 01:33:52.000000000,,,
155,156,TROUGHTON CHRISTIAN,NON LICENCIE,69-SENIOR HOMME,M,0 days 01:33:54.000000000,,,
156,157,PEYROUD CHRISTOPHE,NON LICENCIE,52-VETERAN HOMME,M,0 days 01:33:56.000000000,,,
157,158,CHANTEGREL MAGALI,TRIATHLON CLUB EVIAN,3-VETERAN FEMME,F,0 days 01:33:57.000000000,,,
158,159,GIRAUD ROMAIN,NON LICENCIE,70-SENIOR HOMME,M,0 days 01:34:13.000000000,,,
159,160,GAMBI JOANNE,NON LICENCIE,4-VETERAN FEMME,F,0 days 01:34:14.000000000,,,
160,161,FARRELLY STEPHEN,NON LICENCIE,71-SENIOR HOMME,M,0 days 01:34:22.000000000,,,
161,162,BARONNIER ALAIN,NON LICENCIE,72-SENIOR HOMME,M,0 days 01:34:23.000000000,,,
162,163,HERBETH HERBETH,NON LICENCIE,16-SENIOR FEMME,F,0 days 01:34:24.000000000,,,
163,164,CHARIOT GUY,NON LICENCIE,53-VETERAN HOMME,M,0 days 01:34:46.000000000,,,
164,165,BASTARD ROSSET GAETAN,NON LICENCIE,73-SENIOR HOMME,M,0 days 01:34:49.000000000,,,
165,166,POIRIER MATTHIEU,NON LICENCIE,74-SENIOR HOMME,M,0 days 01:34:58.000000000,,,
166,167,MONFROY SEBASTIEN,COMPIEGNE TRIATHLON,75-SENIOR HOMME,M,0 days 01:35:00.000000000,,,
167,168,WILLEMSE JEREMIE,NON LICENCIE,76-SENIOR HOMME,M,0 days 01:35:04.000000000,,,
168,169,GAUM SULLIVAN,NON LICENCIE,7-CADET HOMME,M,0 days 01:35:07.000000000,,,
169,170,BONNET FABIEN,NON LICENCIE,77-SENIOR HOMME,M,0 days 01:35:30.000000000,,,
170,171,EGGLESTON CHARLOTTE,NON LICENCIE,17-SENIOR FEMME,F,0 days 01:35:37.000000000,,,
171,172,BATTEUX ANTHONY,NON LICENCIE,78-SENIOR HOMME,M,0 days 01:35:46.000000000,,,
172,173,DUNAND MAGDI,NON LICENCIE,79-SENIOR HOMME,M,0 days 01:35:51.000000000,,,
