,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,ROUX REMI,A.S.M.E TRIATHLON 42,1 JUM,M,0 days 02:35:57.000000000,0 days 00:22:55.000000000,0 days 01:33:59.000000000,0 days 00:39:04.000000000
1,2,CARRIER JULIEN,TRISPIRIDON OYONNAX,1 S2M,M,0 days 02:36:45.000000000,0 days 00:23:13.000000000,0 days 01:33:23.000000000,0 days 00:40:10.000000000
2,3,PICHON JULIEN,TRIATHL AIX,1 S3M,M,0 days 02:36:47.000000000,0 days 00:24:07.000000000,0 days 01:32:23.000000000,0 days 00:40:17.000000000
3,4,LAGOUTTE DAMIEN,A.S.M.E TRIATHLON 42,2 S2M,M,0 days 02:36:47.000000000,0 days 00:27:25.000000000,0 days 01:31:11.000000000,0 days 00:38:13.000000000
4,5,MAJEWSKI ALEXANDRE,MACH 3 TRIATHLON,2 S3M,M,0 days 02:38:15.000000000,0 days 00:24:32.000000000,0 days 01:31:09.000000000,0 days 00:42:36.000000000
5,6,BRISSAUD PHILIPPE,VALENCE TRIATHLON,1 V1M,M,0 days 02:40:30.000000000,0 days 00:22:12.000000000,0 days 01:34:16.000000000,0 days 00:44:02.000000000
6,7,VALETTE BENJAMIN,AUTUN TRIATHLON,3 S3M,M,0 days 02:40:45.000000000,0 days 00:23:00.000000000,0 days 01:35:18.000000000,0 days 00:42:28.000000000
7,8,GUERRET THIERRY,TRIATHLON DU SALEVE,1 V2M,M,0 days 02:40:51.000000000,0 days 00:21:03.000000000,0 days 01:33:46.000000000,0 days 00:46:03.000000000
8,9,GHELMA PASCAL,MACH3 TRIATHLON,4 S3M,M,0 days 02:41:55.000000000,0 days 00:22:52.000000000,0 days 01:38:53.000000000,0 days 00:40:12.000000000
9,10,GIRODET GUILLAUME,A.S.M.E TRIATHLON 42,3 S2M,M,0 days 02:42:10.000000000,0 days 00:21:05.000000000,0 days 01:38:17.000000000,0 days 00:42:49.000000000
10,11,BIVILLE PATRICE,MISTRAL TRIATH CLUB,2 V2M,M,0 days 02:42:36.000000000,0 days 00:27:23.000000000,0 days 01:33:53.000000000,0 days 00:41:21.000000000
11,12,DIDIER DAMIEN,TC2R,1 S4M,M,0 days 02:43:12.000000000,0 days 00:25:27.000000000,0 days 01:37:25.000000000,0 days 00:40:20.000000000
12,13,JOUFFRET SEBASTIEN,TRIATHLON AMBERIEUX EN BUGEY,4 S2M,M,0 days 02:43:12.000000000,0 days 00:26:01.000000000,0 days 01:32:33.000000000,0 days 00:44:39.000000000
13,14,FAURAX WILLIAM,CHAMBERY TRIATHLON,2 V1M,M,0 days 02:43:48.000000000,0 days 00:24:15.000000000,0 days 01:35:42.000000000,0 days 00:43:52.000000000
14,15,SZYJKA REMY,U.S. CRETEIL,1 S1M,M,0 days 02:44:03.000000000,0 days 00:21:08.000000000,0 days 01:37:20.000000000,0 days 00:45:37.000000000
15,16,CHUBERRE LOICK,CHARTRES METROPOLE TRIATHLON,2 JUM,M,0 days 02:44:55.000000000,0 days 00:24:30.000000000,0 days 01:39:38.000000000,0 days 00:40:48.000000000
16,17,CRETIN CYRIL,A.S.M.E TRIATHLON 42,5 S2M,M,0 days 02:45:43.000000000,0 days 00:25:19.000000000,0 days 01:38:12.000000000,0 days 00:42:14.000000000
17,18,VIDAL GAËTAN,TRIATHL AIX,2 S4M,M,0 days 02:45:58.000000000,0 days 00:25:49.000000000,0 days 01:37:17.000000000,0 days 00:42:53.000000000
18,19,DEBRUN THIERRY,TRIATHLON VILLEFRANCHE SAONE,3 V2M,M,0 days 02:45:59.000000000,0 days 00:24:37.000000000,0 days 01:37:28.000000000,0 days 00:43:55.000000000
19,20,DELOGE GUILLAUME,TRINOSAURE,6 S2M,M,0 days 02:46:12.000000000,0 days 00:25:40.000000000,0 days 01:36:57.000000000,0 days 00:43:36.000000000
20,21,BERERD DAVID,TRIATHLON VILLEFRANCHE SAONE,3 S4M,M,0 days 02:46:21.000000000,0 days 00:26:00.000000000,0 days 01:32:31.000000000,0 days 00:47:51.000000000
21,22,FERRAND MATHIEU,MACH 3 TRIATHLON,5 S3M,M,0 days 02:46:28.000000000,0 days 00:25:08.000000000,0 days 01:36:48.000000000,0 days 00:44:33.000000000
22,23,DUPONT THOMAS,TRIATHLON CLUB DU VAL DE DROME,6 S3M,M,0 days 02:46:47.000000000,0 days 00:24:57.000000000,0 days 01:34:33.000000000,0 days 00:47:18.000000000
23,24,OLLIER ERIC,A.S.M.E TRIATHLON 42,7 S2M,M,0 days 02:47:04.000000000,0 days 00:31:51.000000000,0 days 01:30:36.000000000,0 days 00:44:38.000000000
24,25,BENSET LOIC,MISTRAL TRIATHL AIX,4 S4M,M,0 days 02:47:52.000000000,0 days 00:25:28.000000000,0 days 01:40:21.000000000,0 days 00:42:03.000000000
25,26,GORIUS CHRISTOPHE,TRINOSAURE,3 V1M,M,0 days 02:47:59.000000000,0 days 00:22:24.000000000,0 days 01:41:08.000000000,0 days 00:44:29.000000000
26,27,MOLLIE SYLVAIN,ROANNE TRIATHLON,5 S4M,M,0 days 02:48:02.000000000,0 days 00:28:56.000000000,0 days 01:37:00.000000000,0 days 00:42:07.000000000
27,28,DELEAGE LAURENT,ROANNE TRIATHLON,4 V1M,M,0 days 02:48:28.000000000,0 days 00:27:32.000000000,0 days 01:38:19.000000000,0 days 00:42:38.000000000
28,29,BRISON CHRISTOPHE,MACH3 TRIATHLON,5 V1M,M,0 days 02:48:50.000000000,0 days 00:25:09.000000000,0 days 01:36:56.000000000,0 days 00:46:46.000000000
29,30,VOGEL NICOLAS,GUC TRIATHLON,8 S2M,M,0 days 02:49:01.000000000,0 days 00:26:43.000000000,0 days 01:42:18.000000000,0 days 00:40:01.000000000
30,31,LADET ROMARIC,VERSAILLES TRIATHLON,9 S2M,M,0 days 02:49:19.000000000,0 days 00:30:36.000000000,0 days 01:37:35.000000000,0 days 00:41:09.000000000
31,32,DAVID FREDERICK,TRIATHLON VILLEFRANCHE SAONE,7 S3M,M,0 days 02:49:21.000000000,0 days 00:30:19.000000000,0 days 01:37:55.000000000,0 days 00:41:07.000000000
32,33,DESSOLIN LAURENT,TRISPIRIDON OYONNAX,6 S4M,M,0 days 02:49:21.000000000,0 days 00:21:50.000000000,0 days 01:40:52.000000000,0 days 00:46:40.000000000
33,34,REVEL RENAUD,MACH 3 TRIATHLON,6 V1M,M,0 days 02:49:35.000000000,0 days 00:26:49.000000000,0 days 01:40:26.000000000,0 days 00:42:21.000000000
34,35,RODARIE BERTRAND,CLERMONT TRIATHLON,8 S3M,M,0 days 02:49:47.000000000,0 days 00:23:46.000000000,0 days 01:39:31.000000000,0 days 00:46:31.000000000
35,36,GUERRET HUGO,TRI SALEVE,2 S1M,M,0 days 02:50:07.000000000,0 days 00:21:16.000000000,0 days 01:40:22.000000000,0 days 00:48:30.000000000
36,37,ROSSIGNOL JACQUES,MACH 3 TRIATHLON,10 S2M,M,0 days 02:50:12.000000000,0 days 00:28:01.000000000,0 days 01:37:50.000000000,0 days 00:44:21.000000000
37,38,DRAGO-RAJON FABIEN,GUC TRIATHLON,9 S3M,M,0 days 02:50:13.000000000,0 days 00:25:56.000000000,0 days 01:37:57.000000000,0 days 00:46:21.000000000
38,39,MORETTO OLIVIER,A.S.M.E TRIATHLON 42,4 V2M,M,0 days 02:50:32.000000000,0 days 00:25:57.000000000,0 days 01:39:58.000000000,0 days 00:44:37.000000000
