,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,OUILLERES GWENAEL,TEAM MERMILLOD TRIATHLON,MS2 / 1,M,0 days 02:07:54.000000000,0 days 00:19:57.000000000,0 days 01:11:39.000000000,0 days 00:33:45.000000000
1,2,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,MS2 / 2,M,0 days 02:11:01.000000000,0 days 00:19:50.000000000,0 days 01:13:03.000000000,0 days 00:36:03.000000000
2,3,LAMBOLEZ AUDRIC,E.C SARTROUVILLE,MS1 / 1,M,0 days 02:11:18.000000000,0 days 00:19:47.000000000,0 days 01:15:51.000000000,0 days 00:33:42.000000000
3,4,STRAGAPEDE VINCENT,TEAM MERMILLOD TRIATHLON,MS3 / 1,M,0 days 02:11:30.000000000,0 days 00:20:08.000000000,0 days 01:14:57.000000000,0 days 00:34:23.000000000
4,5,REBEYROTTE THEO,ASVEL TRIATHLON,MS2 / 3,M,0 days 02:13:56.000000000,0 days 00:19:03.000000000,0 days 01:16:29.000000000,0 days 00:36:24.000000000
5,6,DELDOSSI YOANN,TEAM MERMILLOD TRIATHLON,MS4 / 1,M,0 days 02:15:54.000000000,0 days 00:22:24.000000000,0 days 01:17:41.000000000,0 days 00:33:30.000000000
6,7,ESPITALIER SEBASTIEN,TEAM MERMILLOD TRIATHLON,MS4 / 2,M,0 days 02:16:11.000000000,0 days 00:21:32.000000000,0 days 01:17:07.000000000,0 days 00:35:04.000000000
7,8,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,MV1 / 1,M,0 days 02:17:18.000000000,0 days 00:20:05.000000000,0 days 01:18:29.000000000,0 days 00:36:20.000000000
8,9,MARET EDOUARD,TRIATHLON CLUB GENEVE,MS4 / 3,M,0 days 02:18:15.000000000,0 days 00:24:10.000000000,0 days 01:16:39.000000000,0 days 00:34:54.000000000
9,10,LOMBARD NICOLAS,ISSY TRIATHLON,MS3 / 2,M,0 days 02:19:12.000000000,0 days 00:20:58.000000000,0 days 01:18:02.000000000,0 days 00:37:47.000000000
10,11,BRYCZMAN PHILIPPE,VALENCE TRIATHLON,MV1 / 2,M,0 days 02:20:34.000000000,0 days 00:22:18.000000000,0 days 01:18:08.000000000,0 days 00:37:38.000000000
11,12,ORVELIN JULIEN,CHAMBERY TRIATHLON,MS1 / 2,M,0 days 02:20:45.000000000,0 days 00:21:02.000000000,0 days 01:17:55.000000000,0 days 00:39:17.000000000
12,13,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,MV1 / 3,M,0 days 02:21:41.000000000,0 days 00:20:23.000000000,0 days 01:21:00.000000000,0 days 00:37:55.000000000
13,14,DOLCI ADRIEN,GUC TRIATHLON,MS3 / 3,M,0 days 02:21:42.000000000,0 days 00:27:49.000000000,0 days 01:16:10.000000000,0 days 00:34:45.000000000
14,15,LINGEN SYLVAIN,CHAMBERY TRIATHLON,MS4 / 4,M,0 days 02:21:54.000000000,0 days 00:21:08.000000000,0 days 01:19:03.000000000,0 days 00:39:28.000000000
15,16,VOGEL NICOLAS,GUC TRIATHLON,MS3 / 4,M,0 days 02:22:25.000000000,0 days 00:23:16.000000000,0 days 01:20:27.000000000,0 days 00:35:35.000000000
16,17,PION JULIEN,AIX SAVOIE TRIATHLON,MS2 / 4,M,0 days 02:22:53.000000000,0 days 00:26:08.000000000,0 days 01:14:34.000000000,0 days 00:39:31.000000000
17,18,JALON MAXIME,ASMSE TRIATHLON 42,MS3 / 5,M,0 days 02:23:43.000000000,0 days 00:22:10.000000000,0 days 01:20:52.000000000,0 days 00:38:26.000000000
18,19,RUSCONI MICKAEL,LES ALLIGATORS SEYNOD TRIATHLON,MS1 / 3,M,0 days 02:23:48.000000000,0 days 00:21:47.000000000,0 days 01:19:15.000000000,0 days 00:40:06.000000000
19,20,DUCRET RICHARD,LES ALLIGATORS SEYNOD TRIATHLON,MS1 / 4,M,0 days 02:23:53.000000000,0 days 00:24:20.000000000,0 days 01:18:05.000000000,0 days 00:38:36.000000000
20,21,FERAUD BENJAMIN,ENTENTE SPORTIVE NANTERRE,MS3 / 6,M,0 days 02:24:28.000000000,0 days 00:23:03.000000000,0 days 01:22:14.000000000,0 days 00:36:22.000000000
21,22,LE METAYER WILLIAM,PAYS DE MONTBELIARD TRIATHLON,MS4 / 5,M,0 days 02:24:30.000000000,0 days 00:24:50.000000000,0 days 01:19:21.000000000,0 days 00:37:54.000000000
22,23,WHITE LAURENT,TEAM MERMILLOD TRIATHLON,MS3 / 7,M,0 days 02:24:37.000000000,0 days 00:24:53.000000000,0 days 01:17:51.000000000,0 days 00:39:19.000000000
23,24,THEDY GREGOIRE,TRISALEVE ANNEMASSE,MJU / 1,M,0 days 02:24:41.000000000,0 days 00:22:29.000000000,0 days 01:20:18.000000000,0 days 00:39:43.000000000
24,25,CHARROL BERNARD,VALENCE TRIATHLON,MV1 / 4,M,0 days 02:24:51.000000000,0 days 00:24:21.000000000,0 days 01:20:25.000000000,0 days 00:37:38.000000000
25,26,FABIENS HAMARD,CLUB DES NAGEURS DE PARIS,MS2 / 5,M,0 days 02:24:57.000000000,0 days 00:23:07.000000000,0 days 01:22:03.000000000,0 days 00:37:10.000000000
26,27,VIVIEN JEROME,FREE IRON TEAM,MS4 / 6,M,0 days 02:24:59.000000000,0 days 00:26:39.000000000,0 days 01:20:28.000000000,0 days 00:35:06.000000000
27,28,BELVILLE EMERIC,AIX SAVOIE TRIATHLON,MS1 / 5,M,0 days 02:25:14.000000000,0 days 00:23:30.000000000,0 days 01:19:35.000000000,0 days 00:38:55.000000000
28,29,FUSS JEAN-PATRICK,LES ALLIGATORS SEYNOD TRIATHLON,MS2 / 6,M,0 days 02:25:37.000000000,0 days 00:25:02.000000000,0 days 01:20:15.000000000,0 days 00:37:39.000000000
29,30,CHANTREUIL GUILLAUME,MSA TRIATHLON,MS2 / 7,M,0 days 02:25:58.000000000,0 days 00:20:15.000000000,0 days 01:22:27.000000000,0 days 00:40:49.000000000
30,31,BIRAT JEAN-MARC,ASVEL TRIATHLON,MS4 / 7,M,0 days 02:26:03.000000000,0 days 00:23:15.000000000,0 days 01:20:30.000000000,0 days 00:38:36.000000000
31,32,BODIC FRANCOIS,ISSY TRIATHLON,MS2 / 8,M,0 days 02:26:15.000000000,0 days 00:24:56.000000000,0 days 01:21:38.000000000,0 days 00:37:14.000000000
32,33,VIGNOUD JULIEN,CHAMBERY TRIATHLON,MS1 / 6,M,0 days 02:26:22.000000000,0 days 00:21:45.000000000,0 days 01:21:13.000000000,0 days 00:41:21.000000000
33,34,BRISSEAUD XAVIER,VALENCE TRIATHLON,MV1 / 5,M,0 days 02:26:34.000000000,0 days 00:27:26.000000000,0 days 01:16:46.000000000,0 days 00:40:05.000000000
34,35,LEVILLAIN CYRIL,GUC TRIATHLON,MV1 / 6,M,0 days 02:26:57.000000000,0 days 00:24:28.000000000,0 days 01:21:01.000000000,0 days 00:38:54.000000000
35,36,NOYER THIBAULT,VALLONS DE LA TOUR TRIATHLON,MV1 / 7,M,0 days 02:27:12.000000000,0 days 00:26:59.000000000,0 days 01:19:36.000000000,0 days 00:37:55.000000000
36,37,CALEJERO DAVID,ASVEL TRIATHLON,MS4 / 8,M,0 days 02:27:27.000000000,0 days 00:23:48.000000000,0 days 01:21:06.000000000,0 days 00:39:41.000000000
37,38,LAGARDE CEDRIC,TEAM MERMILLOD TRIATHLON,MS3 / 8,M,0 days 02:27:31.000000000,0 days 00:26:13.000000000,0 days 01:20:23.000000000,0 days 00:37:44.000000000
38,39,LEFRANC OLIVIER,ASVEL TRIATHLON,MV2 / 1,M,0 days 02:27:45.000000000,0 days 00:21:59.000000000,0 days 01:24:29.000000000,0 days 00:38:17.000000000
39,40,LAROCHE CAMILLE,LES ALLIGATORS SEYNOD TRIATHLON,MS3 / 9,M,0 days 02:27:48.000000000,0 days 00:25:47.000000000,0 days 01:22:47.000000000,0 days 00:36:18.000000000
40,41,BOHIN RAPHAEL,LES ALLIGATORS SEYNOD TRIATHLON,MS4 / 9,M,0 days 02:28:04.000000000,0 days 00:24:48.000000000,0 days 01:23:06.000000000,0 days 00:37:46.000000000
41,42,REGNIER WILFRIED,COURCHEVEL SPORTS ALPINISME TRIATHLON,MV1 / 8,M,0 days 02:28:06.000000000,0 days 00:20:02.000000000,0 days 01:23:22.000000000,0 days 00:41:45.000000000
42,43,LAMBART PAUL,RENNES TRIATHLON,MS3 / 10,M,0 days 02:28:08.000000000,0 days 00:24:39.000000000,0 days 01:20:28.000000000,0 days 00:40:20.000000000
43,44,COUDERT RONAN,C.R.V. LYON TRIATHLON,MS2 / 9,M,0 days 02:28:10.000000000,0 days 00:25:57.000000000,0 days 01:21:03.000000000,0 days 00:38:14.000000000
44,45,MANIN LIONEL,ASVEL TRIATHLON,MV1 / 9,M,0 days 02:28:14.000000000,0 days 00:24:13.000000000,0 days 01:20:38.000000000,0 days 00:40:04.000000000
45,46,DESGRANGES DAVID,TRIATHLON ROMANAIS PEAGEOIS,MS4 / 10,M,0 days 02:28:17.000000000,0 days 00:27:19.000000000,0 days 01:19:18.000000000,0 days 00:38:52.000000000
46,47,PELCAT SEBASTIEN,TEAM MERMILLOD TRIATHLON,MV1 / 10,M,0 days 02:28:35.000000000,0 days 00:25:24.000000000,0 days 01:19:25.000000000,0 days 00:40:43.000000000
47,48,NAMER GREGORY,AUBAGNE TRIATHLON,MS4 / 11,M,0 days 02:28:37.000000000,0 days 00:29:06.000000000,0 days 01:19:55.000000000,0 days 00:36:47.000000000
48,49,CHANGEAT BRUNO,C.N.S.C TRIATHLON,MS4 / 12,M,0 days 02:28:43.000000000,0 days 00:29:23.000000000,0 days 01:17:01.000000000,0 days 00:38:34.000000000
49,50,FAURE JEROME,ASMSE TRIATHLON 42,MS3 / 11,M,0 days 02:28:51.000000000,0 days 00:28:58.000000000,0 days 01:15:20.000000000,0 days 00:41:28.000000000
50,51,VIOLOT ANTHONY,CHALON TRIATHLON CLUB,MJU / 2,M,0 days 02:28:52.000000000,0 days 00:27:18.000000000,0 days 01:19:23.000000000,0 days 00:39:25.000000000
51,52,HENRIET THIERRY,TRIATHLON NANCY LORRAINE,MV2 / 2,M,0 days 02:28:57.000000000,0 days 00:22:12.000000000,0 days 01:24:53.000000000,0 days 00:38:56.000000000
52,53,MOHY STEPHANE,BATIFER TRIATHLON SAINT-HUBERT,MS4 / 13,M,0 days 02:29:12.000000000,0 days 00:23:58.000000000,0 days 01:21:17.000000000,0 days 00:41:01.000000000
53,54,HIJAZI BERTRAND,TEAM LIBERTY BIKES,MS4 / 14,M,0 days 02:29:32.000000000,0 days 00:23:59.000000000,0 days 01:23:41.000000000,0 days 00:39:32.000000000
54,55,LALA REGIS,SAINT-PRIEST TRIATHLON,MS4 / 15,M,0 days 02:29:35.000000000,0 days 00:27:06.000000000,0 days 01:19:50.000000000,0 days 00:39:45.000000000
55,56,DEBRUN THIERRY,TRIATHLON VILLEFRANCHE SAONE VALLEE,MV3 / 1,M,0 days 02:29:50.000000000,0 days 00:24:10.000000000,0 days 01:22:46.000000000,0 days 00:39:51.000000000
