,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
137,138,BERNARD SYLVAIN,LES VALLONS DE LA TOUR TRI,S3 19,M,0 days 02:23:26.000000000,0 days 00:26:49.000000000,0 days 01:16:52.000000000,0 days 00:39:46.000000000
138,139,GAYDOU FABRICE,TRISALÈVE ANNEMASSE,S4 23,M,0 days 02:23:47.000000000,0 days 00:23:25.000000000,0 days 01:16:33.000000000,0 days 00:43:50.000000000
139,140,BERTHIER RÉMI,TRI AMBÉRIEU EN BUGEY,S3 20,M,0 days 02:23:49.000000000,0 days 00:26:14.000000000,0 days 01:17:06.000000000,0 days 00:40:30.000000000
140,141,DEFOSSE SÉBASTIEN,ASVEL TRI,S3 21,M,0 days 02:23:52.000000000,0 days 00:21:28.000000000,0 days 01:21:54.000000000,0 days 00:40:30.000000000
141,142,PIERRE YANN,NON LICENCIE,S4 24,M,0 days 02:23:52.000000000,0 days 00:35:16.000000000,0 days 01:02:40.000000000,0 days 00:45:58.000000000
142,143,JOUAN MARIE ANGE,TEAM MERMILLOD TRI,S3 2,F,0 days 02:23:53.000000000,0 days 00:23:03.000000000,0 days 01:18:44.000000000,0 days 00:42:07.000000000
143,144,LOOTVOET THOMAS,ASVEL TRI,S3 22,M,0 days 02:23:56.000000000,0 days 00:23:56.000000000,0 days 01:18:07.000000000,0 days 00:41:53.000000000
144,145,CORNET PHILIPPE,ALBERTVILLE TARENTAISE TRI,S3 23,M,0 days 02:23:59.000000000,0 days 00:23:29.000000000,0 days 01:17:34.000000000,0 days 00:42:57.000000000
145,146,PETIT EMMANUEL,ANNONAY TRI,V2 14,M,0 days 02:24:05.000000000,0 days 00:26:37.000000000,0 days 01:16:04.000000000,0 days 00:41:25.000000000
146,147,LAPORTE GRÉGORY,ALBERTVILLE TARENTAISE TRI,S3 24,M,0 days 02:24:07.000000000,0 days 00:23:46.000000000,0 days 01:15:35.000000000,0 days 00:44:47.000000000
147,148,MARTORANA LAURENT,FONTANIL TRI,S4 25,M,0 days 02:24:10.000000000,0 days 00:25:50.000000000,0 days 01:16:54.000000000,0 days 00:41:26.000000000
148,149,GANDON CÉDRIC,LES VALLONS DE LA TOUR TRI,S4 26,M,0 days 02:24:14.000000000,0 days 00:27:08.000000000,0 days 01:16:02.000000000,0 days 00:41:05.000000000
149,150,DAVID FREDERIC,TEAM MERMILLOD TRI,V3 6,M,0 days 02:24:19.000000000,0 days 00:29:06.000000000,0 days 01:18:15.000000000,0 days 00:36:59.000000000
150,151,LACAILLE FRANCK,LES ALLIGATORS SEYNOD TRI,S4 27,M,0 days 02:24:24.000000000,0 days 00:20:59.000000000,0 days 01:18:03.000000000,0 days 00:45:23.000000000
151,152,TARGHETTA PHILIPPE,CSA DE LA VALBONNE,V2 15,M,0 days 02:24:33.000000000,0 days 00:26:44.000000000,0 days 01:17:22.000000000,0 days 00:40:28.000000000
152,153,LE MEUT SAMUEL,ALBERTVILLE TARENTAISE TRI,S3 25,M,0 days 02:24:34.000000000,0 days 00:27:55.000000000,0 days 01:17:21.000000000,0 days 00:39:19.000000000
153,154,BIDIN STÉPHANE,FREE IRON TEAM,S4 28,M,0 days 02:24:38.000000000,0 days 00:22:45.000000000,0 days 01:20:32.000000000,0 days 00:41:22.000000000
154,155,PASCHAL FREDERIC,ALBERTVILLE TARENTAISE TRI,V1 39,M,0 days 02:24:39.000000000,0 days 00:25:31.000000000,0 days 01:19:16.000000000,0 days 00:39:53.000000000
