,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
99,100,BERTRAND FRÉDÉRIC,VELIZY TRIATHLON,11 V2M,,0 days 02:52:53.000000000,0 days 00:33:02.000000000,0 days 01:24:56.000000000,0 days 00:54:55.000000000
100,101,HEMBAUT CYRIL,TRIATHLON CLUB GENÈVE,21 S3M,,0 days 02:53:01.000000000,0 days 00:35:09.000000000,0 days 01:22:39.000000000,0 days 00:55:14.000000000
101,102,PERRIN-CONFORT DIDIER,PASSY MONT BLANC TRIATHLON,24 S4M,,0 days 02:53:27.000000000,0 days 00:33:51.000000000,0 days 01:25:23.000000000,0 days 00:54:14.000000000
102,103,LENNOZ GUY,ALBERTVILLE TARENTAISE TRIATHLON,17 V1M,,0 days 02:53:39.000000000,0 days 00:34:36.000000000,0 days 01:28:28.000000000,0 days 00:50:37.000000000
103,104,NICOUD ANNE-MARIE,TRI TEAM PULLY,1 V2F,,0 days 02:53:47.000000000,0 days 00:31:39.000000000,0 days 01:30:28.000000000,0 days 00:51:41.000000000
104,105,ROPOSTE OLIVIER,TRISPIRIDON OYONNAX,12 V2M,,0 days 02:54:43.000000000,0 days 00:36:20.000000000,0 days 01:28:19.000000000,0 days 00:50:05.000000000
105,106,FULLARD STEVE,NON LICENCIÉ,22 S3M,,0 days 02:54:47.000000000,0 days 00:34:41.000000000,0 days 01:28:24.000000000,0 days 00:51:43.000000000
106,107,FRACES PHILIPPE,TEAM MERMILLOD TRIATHLON,3 V3M,,0 days 02:54:50.000000000,0 days 00:31:03.000000000,0 days 01:29:55.000000000,0 days 00:53:53.000000000
107,108,RINAUD CHRISTOPHE,TRIATHLON DU SALÈVE,25 S4M,,0 days 02:55:34.000000000,0 days 00:31:32.000000000,0 days 01:25:04.000000000,0 days 00:59:00.000000000
108,109,SAURIN PIERRE ALAIN,TRICEPS,26 S4M,,0 days 02:55:46.000000000,0 days 00:32:18.000000000,0 days 01:27:33.000000000,0 days 00:55:56.000000000
109,110,DELORT ESTELLE,TRIATHLON CLUB GENÈVE,1 S3F,,0 days 02:55:50.000000000,0 days 00:27:42.000000000,0 days 01:29:48.000000000,0 days 00:58:22.000000000
110,111,MARTINO DOMINIQUE,AIX SAVOIE TRIATHLON,4 V3M,,0 days 02:55:55.000000000,0 days 00:47:40.000000000,0 days 01:21:23.000000000,0 days 00:46:53.000000000
111,112,CHIAPPORI MARCEL,NON LICENCIÉ,18 V1M,,0 days 02:56:06.000000000,0 days 00:36:43.000000000,0 days 01:26:35.000000000,0 days 00:52:49.000000000
112,113,DENIS BILLET CHRISTINE,AIX SAVOIE TRIATHLON,3 S4F,,0 days 02:56:19.000000000,0 days 00:38:03.000000000,0 days 01:32:35.000000000,0 days 00:45:42.000000000
113,114,DUPONT FRANÇOIS,VAULX EN VELIN TRIATHLON,19 V1M,,0 days 02:56:33.000000000,0 days 00:31:33.000000000,0 days 01:24:54.000000000,0 days 01:00:08.000000000
