,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,BERGERE LEO,VALLONS DE LA TOUR TRIATHLON,JUM (1),M,0 days 01:59:27.000000000,0 days 00:19:44.000000000,0 days 00:59:51.000000000,0 days 00:39:53.000000000
1,2,SAYER THOMAS,METZ TRIATHLON,S1M (1),M,0 days 02:00:02.000000000,0 days 00:19:16.000000000,0 days 01:03:01.000000000,0 days 00:37:46.000000000
2,3,NEUMANN MAX,TRIATHLON AUSTRALIA,JUM (2),M,0 days 02:03:48.000000000,0 days 00:20:31.000000000,0 days 01:06:24.000000000,0 days 00:36:55.000000000
3,4,JACOLIN LUCAS,ALECHIROLLES TRIATHLON,JUM (3),M,0 days 02:04:21.000000000,0 days 00:19:50.000000000,0 days 01:04:56.000000000,0 days 00:39:36.000000000
4,5,VANDIEST THOMAS,RCBT,S3M (1),M,0 days 02:04:31.000000000,0 days 00:23:19.000000000,0 days 01:02:51.000000000,0 days 00:38:22.000000000
5,6,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,V1M (1),M,0 days 02:04:52.000000000,0 days 00:21:21.000000000,0 days 01:03:22.000000000,0 days 00:40:11.000000000
6,7,LACHAT THEO,CRV LYON TRIATHLON,S1M (2),M,0 days 02:05:37.000000000,0 days 00:21:12.000000000,0 days 01:03:26.000000000,0 days 00:40:59.000000000
7,8,AUREILLE FLORIAN,TMT,S3M (2),M,0 days 02:07:45.000000000,0 days 00:26:21.000000000,0 days 01:01:38.000000000,0 days 00:39:47.000000000
8,9,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,V1M (2),M,0 days 02:09:17.000000000,0 days 00:21:15.000000000,0 days 01:04:40.000000000,0 days 00:43:23.000000000
9,10,MOUNIER PIERRE-JEAN,AL ECHIROLLES TRIATHLON,S1M (3),M,0 days 02:10:07.000000000,0 days 00:21:00.000000000,0 days 01:06:15.000000000,0 days 00:42:52.000000000
10,11,GUERRET HUGO,TRISALEVE ANNEMASSE AGLO,S1M (4),M,0 days 02:10:52.000000000,0 days 00:20:51.000000000,0 days 01:05:48.000000000,0 days 00:44:14.000000000
11,12,DIDIER DAMIEN,TRP,V1M (3),M,0 days 02:13:51.000000000,0 days 00:26:37.000000000,0 days 01:05:04.000000000,0 days 00:42:10.000000000
12,13,RODRIGUEZ JOHAN,VAULX EN VELIN TRIATHLON,S1M (5),M,0 days 02:14:19.000000000,0 days 00:22:49.000000000,0 days 01:05:19.000000000,0 days 00:46:12.000000000
13,14,SCHULER PASCAL,SOG R LE TEAM STRASBOURG,S4M (1),M,0 days 02:14:24.000000000,0 days 00:29:01.000000000,0 days 01:06:19.000000000,0 days 00:39:05.000000000
14,15,REBOUILLAT JOSEPH,DIJON SINGLETRACK,S3M (3),M,0 days 02:14:35.000000000,0 days 00:21:37.000000000,0 days 01:09:23.000000000,0 days 00:43:36.000000000
15,16,DOLLE BRICE,TRIATHLON ROMANAIS ET PEAGEOIS,S3M (4),M,0 days 02:14:43.000000000,0 days 00:25:54.000000000,0 days 01:05:54.000000000,0 days 00:42:56.000000000
16,17,COURLET DAVID,POMPIERS DU RHÔNE TRIATHLON,S3M (5),M,0 days 02:15:02.000000000,0 days 00:22:15.000000000,0 days 01:05:10.000000000,0 days 00:47:38.000000000
17,18,BERNARD STEPHANE,1000 PATTES TRIATHLON GRENOBLE,S4M (2),M,0 days 02:15:13.000000000,0 days 00:26:40.000000000,0 days 01:07:14.000000000,0 days 00:41:19.000000000
18,19,AVRILLON PIERRICK,ALLIGATORS SEYNOD TRIATHLON,S1M (6),M,0 days 02:15:30.000000000,0 days 00:27:37.000000000,0 days 01:03:12.000000000,0 days 00:44:42.000000000
19,20,MOUTIN OLIVIER,NON LICENCIE,S1M (7),M,0 days 02:16:04.000000000,0 days 00:23:34.000000000,0 days 01:06:46.000000000,0 days 00:45:45.000000000
20,21,MEZGUELDI MOHAMED,ANNONAY TRIATHLON,V3M (1),M,0 days 02:17:29.000000000,0 days 00:26:54.000000000,0 days 01:07:14.000000000,0 days 00:43:22.000000000
21,22,JEANNERET YVAIN,RED FISH NEUCHÂTEL,V1M (4),M,0 days 02:17:37.000000000,0 days 00:28:02.000000000,0 days 01:05:59.000000000,0 days 00:43:37.000000000
22,23,HETTINGER RAPHAËL,TRIATHLON EPINAL CLUB,S4M (3),M,0 days 02:17:44.000000000,0 days 00:27:16.000000000,0 days 01:08:49.000000000,0 days 00:41:40.000000000
23,24,PHILIPPE GUILLAUME,ECHIROLLES TRIATHLON,S3M (6),M,0 days 02:17:47.000000000,0 days 00:26:31.000000000,0 days 01:05:16.000000000,0 days 00:46:01.000000000
24,25,ARNAUD CÉDRIC,ALLIGATORS SEYNOD,S4M (4),M,0 days 02:17:49.000000000,0 days 00:25:57.000000000,0 days 01:05:59.000000000,0 days 00:45:54.000000000
25,26,COMBAT RAPHAËL,VITROLLES TRIATHLON,S4M (5),M,0 days 02:17:52.000000000,0 days 00:31:55.000000000,0 days 01:05:30.000000000,0 days 00:40:28.000000000
