,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
83,84,BRENIER LIONEL,VAULX EN VELIN TRIATHLON,30 V1M,M,0 days 04:48:58.000000000,0 days 00:37:38.000000000,0 days 02:41:22.000000000,0 days 01:29:59.000000000
84,85,LECOMTE JEAN-MARC,AS ENERGY 91,8 V2M,M,0 days 04:49:17.000000000,0 days 00:30:52.000000000,0 days 02:42:00.000000000,0 days 01:36:26.000000000
85,86,ROUSSEL JEAN LUC,DRANCY TRIATHLON,9 V2M,M,0 days 04:49:24.000000000,0 days 00:28:52.000000000,0 days 02:50:40.000000000,0 days 01:29:53.000000000
86,87,OLID VINCENT,CHENOVE TRIATHLON,5 S1M,M,0 days 04:49:58.000000000,0 days 00:26:57.000000000,0 days 02:39:54.000000000,0 days 01:43:08.000000000
87,88,SAURIN PIERRE-ALAIN,LEMAN TRIATHLON CLUB,31 V1M,M,0 days 04:49:58.000000000,0 days 00:30:30.000000000,0 days 02:44:23.000000000,0 days 01:35:06.000000000
88,89,LE BESCOND OLIVIER,COURBEVOIE TRIATHLON,17 S3M,M,0 days 04:50:01.000000000,0 days 00:33:52.000000000,0 days 02:45:39.000000000,0 days 01:30:32.000000000
89,90,KOLLY CHRISTOPHE,TRIATHLON CLUB GENEVE,32 V1M,M,0 days 04:50:04.000000000,0 days 00:29:03.000000000,0 days 02:48:49.000000000,0 days 01:32:13.000000000
90,91,CRETOUX BRIEUC,LES ALLIGATORS SEYNOD,5 S2M,M,0 days 04:50:05.000000000,0 days 00:34:24.000000000,0 days 02:39:35.000000000,0 days 01:36:07.000000000
91,92,LACAILLE FRANCK,LES ALLIGATORS SEYNOD,20 S4M,M,0 days 04:50:10.000000000,0 days 00:26:28.000000000,0 days 02:46:22.000000000,0 days 01:37:21.000000000
92,93,PELLISSIER REMI,FONTANIL TRIATHLON,21 S4M,M,0 days 04:50:27.000000000,0 days 00:28:36.000000000,0 days 02:40:35.000000000,0 days 01:41:18.000000000
93,94,GREGOIRE NICOLAS,DIJON TRIATHLON,6 S2M,M,0 days 04:50:43.000000000,0 days 00:31:53.000000000,0 days 02:43:03.000000000,0 days 01:35:48.000000000
94,95,JULLIAN ROMAIN,AL ECHIROLLES TRIATHLON,18 S3M,M,0 days 04:51:04.000000000,0 days 00:35:52.000000000,0 days 02:41:53.000000000,0 days 01:33:20.000000000
95,96,BLANCHARD EVANNE,ASVEL TRIATHLON,1 S1F,F,0 days 04:51:09.000000000,0 days 00:31:09.000000000,0 days 02:46:42.000000000,0 days 01:33:20.000000000
96,97,BEE STEPHANE,KRONOS TRIATHLON,10 V2M,M,0 days 04:51:26.000000000,0 days 00:30:12.000000000,0 days 02:48:14.000000000,0 days 01:33:01.000000000
97,98,BRUYERE REMY,FONTANIL TRIATHLON,33 V1M,M,0 days 04:51:39.000000000,0 days 00:33:20.000000000,0 days 02:44:30.000000000,0 days 01:33:51.000000000
98,99,REYNAUD ROMAIN,AQUATIQUE CLUB OLYMPIQUE,19 S3M,M,0 days 04:52:00.000000000,0 days 00:37:13.000000000,0 days 02:42:25.000000000,0 days 01:32:24.000000000
99,100,MARTY PASCAL,CLUB YERROIS DE TRIATHLON 91,34 V1M,M,0 days 04:52:09.000000000,0 days 00:34:18.000000000,0 days 02:43:26.000000000,0 days 01:34:27.000000000
100,101,VISSEYRIAS BENOIT,AIX SAVOIE TRIATHLON,7 S2M,M,0 days 04:52:57.000000000,0 days 00:34:32.000000000,0 days 02:45:40.000000000,0 days 01:32:47.000000000
101,102,ALTENBURGER MANUEL,NON LICENCIÉ,20 S3M,M,0 days 04:53:00.000000000,0 days 00:31:55.000000000,0 days 02:36:34.000000000,0 days 01:44:32.000000000
102,103,PINOT ANDRE,ALBERTVILLE TARENTAISE TRIATHLON,21 S3M,M,0 days 04:53:29.000000000,0 days 00:33:49.000000000,0 days 02:49:15.000000000,0 days 01:30:26.000000000
103,104,MONTALBAN KERLAUX ETIEN,AS MURET TRIATHLON,8 S2M,M,0 days 04:53:35.000000000,0 days 00:29:45.000000000,0 days 02:44:03.000000000,0 days 01:39:48.000000000
104,105,POULAIN YANNICK,DIJON TRIATHLON,9 S2M,M,0 days 04:53:36.000000000,0 days 00:33:19.000000000,0 days 02:40:12.000000000,0 days 01:40:07.000000000
105,106,EVAIN JEAN MARC,DRAVEIL TRIATHLON 2000,11 V2M,M,0 days 04:54:00.000000000,0 days 00:32:25.000000000,0 days 02:38:00.000000000,0 days 01:43:36.000000000
106,107,EBNER MATHIEU,KRONOS TRIATHLON,35 V1M,M,0 days 04:54:10.000000000,0 days 00:33:28.000000000,0 days 02:48:58.000000000,0 days 01:31:45.000000000
107,108,MILLINS GLEN,NON LICENCIÉ,36 V1M,M,0 days 04:54:14.000000000,0 days 00:28:50.000000000,0 days 02:53:42.000000000,0 days 01:31:43.000000000
108,109,FILLIOL SAMUEL,NON LICENCIÉ,22 S3M,M,0 days 04:54:25.000000000,0 days 00:37:48.000000000,0 days 02:42:28.000000000,0 days 01:34:11.000000000
109,110,BESSE REGGANE ANTHONY,CHAMBERY TRIATHLON,10 S2M,M,0 days 04:54:38.000000000,0 days 00:27:42.000000000,0 days 02:50:14.000000000,0 days 01:36:43.000000000
110,111,BRESSIEUX ARNAUD,RILLEUX TRIATHLON,11 S2M,M,0 days 04:54:43.000000000,0 days 00:35:07.000000000,0 days 02:45:21.000000000,0 days 01:34:16.000000000
111,112,LEVEQUE JULIEN,LES ALLIGATORS SEYNOD,22 S4M,M,0 days 04:54:44.000000000,0 days 00:31:44.000000000,0 days 02:46:05.000000000,0 days 01:36:56.000000000
112,113,FLAMARY HELLIOT ALEXAND,CHAMPAGNE TRIATHLON VITRY FRANCOIS,37 V1M,M,0 days 04:54:49.000000000,0 days 00:40:14.000000000,0 days 02:49:35.000000000,0 days 01:25:02.000000000
