,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,FAURE HERVÉ,VITROLLES TRIATHLON,1 S3M,,0 days 01:53:42.000000000,0 days 00:16:45.000000000,0 days 01:01:15.000000000,0 days 00:35:43.000000000
1,2,JURKIEWICKZ JÉRÉMY,ASMSE,1 S1M,,0 days 01:55:44.000000000,0 days 00:15:34.000000000,0 days 01:03:26.000000000,0 days 00:36:45.000000000
2,3,PANNIER ANTHONY,METZ TRIATHLON,1 S2M,,0 days 01:56:38.000000000,0 days 00:15:39.000000000,0 days 01:02:09.000000000,0 days 00:38:51.000000000
3,4,ROTA SYLVAIN,C.R.V. LYON TRIATHLON,2 S2M,,0 days 01:57:22.000000000,0 days 00:16:22.000000000,0 days 01:04:19.000000000,0 days 00:36:43.000000000
4,5,STRAGAPEDE VINCENT,TRIATHL AIX,3 S2M,,0 days 01:57:54.000000000,0 days 00:16:41.000000000,0 days 01:02:24.000000000,0 days 00:38:50.000000000
5,6,CRIADO ROMAIN,TEAM MERMILLOD TRIATHLON,4 S2M,,0 days 01:59:10.000000000,0 days 00:16:46.000000000,0 days 01:07:18.000000000,0 days 00:35:07.000000000
6,7,OUILLERES GWENAEL,TEAM MERMILLOD TRIATHLON,5 S2M,,0 days 02:00:33.000000000,0 days 00:17:37.000000000,0 days 01:04:37.000000000,0 days 00:38:21.000000000
7,8,FANTOLI OLIVIER,TEAM MERMILLOD TRIATHLON,1 V1M,,0 days 02:02:07.000000000,0 days 00:16:11.000000000,0 days 01:06:03.000000000,0 days 00:39:54.000000000
8,9,ESPITALIER SÉBASTIEN,TEAM MERMILLOD TRIATHLON,2 S3M,,0 days 02:02:20.000000000,0 days 00:17:37.000000000,0 days 01:06:26.000000000,0 days 00:38:17.000000000
9,10,DUPONT PHILIPPE,TEAM MERMILLOD TRIATHLON,1 S4M,,0 days 02:02:24.000000000,0 days 00:16:46.000000000,0 days 01:08:30.000000000,0 days 00:37:08.000000000
10,11,WITH DAMIEN,TEAM MERMILLOD TRIATHLON,6 S2M,,0 days 02:03:20.000000000,0 days 00:16:22.000000000,0 days 01:06:35.000000000,0 days 00:40:24.000000000
11,12,PHILIPPE GUILLAUME,A.L. ECHIROLLES TRIATHLON,7 S2M,,0 days 02:03:28.000000000,0 days 00:18:27.000000000,0 days 01:07:07.000000000,0 days 00:37:55.000000000
12,13,BALLY LAURENT,A.L. ECHIROLLES TRIATHLON,8 S2M,,0 days 02:03:40.000000000,0 days 00:17:52.000000000,0 days 01:07:10.000000000,0 days 00:38:39.000000000
13,14,PICHON LIONEL,CHAMBERY TRIATHLON,3 S3M,,0 days 02:04:04.000000000,0 days 00:18:50.000000000,0 days 01:06:14.000000000,0 days 00:39:00.000000000
14,15,BERRY JOSH,ASMSE,2 S1M,,0 days 02:04:13.000000000,0 days 00:15:43.000000000,0 days 01:09:18.000000000,0 days 00:39:13.000000000
15,16,COUVAL SÉBASTIEN,ASVEL TRIATHLON,2 S4M,,0 days 02:04:14.000000000,0 days 00:18:53.000000000,0 days 01:09:23.000000000,0 days 00:35:59.000000000
16,17,BOUDIN CHRISTOPHE,TEAM MERMILLOD TRIATHLON,3 S4M,,0 days 02:04:42.000000000,0 days 00:17:38.000000000,0 days 01:08:23.000000000,0 days 00:38:42.000000000
17,18,ROBERT PIERRE,C.R.V. LYON TRIATHLON,9 S2M,,0 days 02:05:20.000000000,0 days 00:17:32.000000000,0 days 01:08:01.000000000,0 days 00:39:48.000000000
18,19,ARCHAMBAULT PIERRE YVES,AIX SAVOIE TRIATHLON,4 S4M,,0 days 02:05:23.000000000,0 days 00:19:40.000000000,0 days 01:05:53.000000000,0 days 00:39:51.000000000
19,20,ROMAN YOHAN,TRIATHLON DU SALEVE,4 S3M,,0 days 02:05:40.000000000,0 days 00:17:50.000000000,0 days 01:07:49.000000000,0 days 00:40:03.000000000
20,21,LEMAY BENJAMIN,LES HYDROCYCLOPEDS,10 S2M,,0 days 02:06:44.000000000,0 days 00:20:29.000000000,0 days 01:07:02.000000000,0 days 00:39:15.000000000
21,22,LINGEN SYLVAIN,AIX SAVOIE TRIATHLON,5 S3M,,0 days 02:08:05.000000000,0 days 00:17:34.000000000,0 days 01:06:48.000000000,0 days 00:43:45.000000000
22,23,BINET STEPHEN,AIX SAVOIE TRIATHLON,6 S3M,,0 days 02:08:10.000000000,0 days 00:18:21.000000000,0 days 01:07:11.000000000,0 days 00:42:39.000000000
