,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
205,206,CHORON DIDIER,PUBLIER TRIATHLON,M (189) - V4M (4),M,0 days 02:57:09.000000000,0 days 00:33:37.000000000,0 days 01:29:05.000000000,0 days 00:54:28.000000000
206,207,CELLIER ADRIEN,NON LICENCIE,M (190) - S2M (30),M,0 days 02:57:24.000000000,0 days 00:29:08.000000000,0 days 01:31:36.000000000,0 days 00:56:40.000000000
207,208,DELACHAUX XAVIER,BESANÇON TRIATHLON,M (191) - V1M (54),M,0 days 02:57:25.000000000,0 days 00:29:43.000000000,0 days 01:35:35.000000000,0 days 00:52:08.000000000
208,209,GHIO ERIC,NON LICENCIE,M (192) - V2M (17),M,0 days 02:57:40.000000000,0 days 00:37:37.000000000,0 days 01:27:55.000000000,0 days 00:52:09.000000000
209,210,BOULEAU BENJAMIN,1000 PATTES TRIATHLON,M (193) - S4M (34),M,0 days 02:57:57.000000000,0 days 00:32:02.000000000,0 days 01:30:24.000000000,0 days 00:55:33.000000000
210,211,MARTEEL KEVIN,CHAMBERY TRIATHLON,M (194) - S1M (20),M,0 days 02:58:02.000000000,0 days 00:38:41.000000000,0 days 01:26:26.000000000,0 days 00:52:56.000000000
211,212,PHILIBERT GILLES,BOURG EN BRESSE TRIATHLON,M (195) - V1M (55),M,0 days 02:58:10.000000000,0 days 00:28:36.000000000,0 days 01:27:02.000000000,0 days 01:02:33.000000000
212,213,PINGET BENOIT,LEMAN TRIATHLON,M (196) - S2M (31),M,0 days 02:58:14.000000000,0 days 00:30:22.000000000,0 days 01:30:48.000000000,0 days 00:57:05.000000000
213,214,MAXIT CORINNE,LEMAN TRIATHLON,F (18) - S3F (4),F,0 days 02:58:14.000000000,0 days 00:30:20.000000000,0 days 01:32:36.000000000,0 days 00:55:19.000000000
214,215,ROBBE CHRISTIAN,TRISALEVE ANNEMASSE,M (197) - V1M (56),M,0 days 02:58:42.000000000,0 days 00:26:26.000000000,0 days 01:25:52.000000000,0 days 01:06:25.000000000
215,216,GARCIA LOUBIER HELENE,AST,F (19) - V2F (3),F,0 days 02:59:08.000000000,0 days 00:37:34.000000000,0 days 01:36:02.000000000,0 days 00:45:32.000000000
216,217,BOUSSOUNIAN MARC,ACTION TRIATHLON PROVENCE,M (198) - V4M (5),M,0 days 02:59:23.000000000,0 days 00:32:09.000000000,0 days 01:35:50.000000000,0 days 00:51:25.000000000
217,218,BLAHA JAN,HYDROCYCLOPEDS,M (199) - S4M (35),M,0 days 02:59:26.000000000,0 days 00:32:27.000000000,0 days 01:37:04.000000000,0 days 00:49:55.000000000
218,219,MERCIER YASEMIN,AIX SAVOIE TRIATHLON,F (20) - S3F (5),F,0 days 02:59:36.000000000,0 days 00:33:37.000000000,0 days 01:33:25.000000000,0 days 00:52:35.000000000
219,220,LAZARETH SEBASTIEN,EVIAN,M (200) - S4M (36),M,0 days 03:00:06.000000000,0 days 00:28:04.000000000,0 days 01:29:47.000000000,0 days 01:02:16.000000000
220,221,FABRIS JEAN-PHILIPPE,ASPTT MULHOUSE TRIATHLON,M (201) - S4M (37),M,0 days 03:00:08.000000000,0 days 00:25:04.000000000,0 days 01:31:23.000000000,0 days 01:03:42.000000000
221,222,ROBERT CHRISTIAN,TRISALEVE ANNEMASSE,M (202) - V2M (18),M,0 days 03:00:13.000000000,0 days 00:33:31.000000000,0 days 01:32:19.000000000,0 days 00:54:24.000000000
222,223,BINJACAR CAROLE,LEVALLOIS TRIATHLON,F (21) - S4F (1),F,0 days 03:00:30.000000000,0 days 00:32:30.000000000,0 days 01:31:22.000000000,0 days 00:56:38.000000000
223,224,THERON CLÉMENT,VALLONS DE LA TOUR TRIATHLON,M (203) - S3M (23),M,0 days 03:00:31.000000000,0 days 00:34:06.000000000,0 days 01:27:58.000000000,0 days 00:58:28.000000000
224,225,FALLAI SÉBASTIEN,NON LICENCIE,M (204) - S3M (24),M,0 days 03:00:37.000000000,0 days 00:37:28.000000000,0 days 01:28:28.000000000,0 days 00:54:42.000000000
225,226,FLEURET LAURENCE,PUBLIER TRIATHLON,F (22) - V2F (4),F,0 days 03:00:40.000000000,0 days 00:29:09.000000000,0 days 01:39:40.000000000,0 days 00:51:52.000000000
226,227,BERTRAND JEAN-BENOIT,NON LICENCIE,M (205) - S3M (25),M,0 days 03:00:52.000000000,0 days 00:34:03.000000000,0 days 01:30:55.000000000,0 days 00:55:56.000000000
227,228,ROHRER YANN,NON LICENCIE,M (206) - S4M (38),M,0 days 03:00:55.000000000,0 days 00:30:01.000000000,0 days 01:30:31.000000000,0 days 01:00:24.000000000
228,229,COQUAND BENOIT,GRESIVAUDAN TRIATHLON,M (207) - S4M (39),M,0 days 03:01:06.000000000,0 days 00:32:58.000000000,,
229,230,GINSAC NATHALIE,LÉMAN TRIATHLON CLUB,F (23) - S3F (6),F,0 days 03:01:36.000000000,0 days 00:34:01.000000000,0 days 01:35:00.000000000,0 days 00:52:37.000000000
230,231,CREOLA SEBASTIEN,MACH 3 TRIATHLON,M (208) - S4M (40),M,0 days 03:01:42.000000000,0 days 00:34:35.000000000,0 days 01:33:07.000000000,0 days 00:54:01.000000000
231,232,VAN CROMBRUGGEN BART,NON LICENCIE,M (209) - S4M (41),M,0 days 03:01:48.000000000,0 days 00:31:13.000000000,0 days 01:26:14.000000000,0 days 01:04:22.000000000
232,233,RAVAUX PHILIPPE,BOURG EN BRESSE TRIATHLON,M (210) - V4M (6),M,0 days 03:01:55.000000000,0 days 00:32:58.000000000,0 days 01:37:11.000000000,0 days 00:51:46.000000000
233,234,CLETO PHILIPPE,TOBESPORT,M (211) - S3M (26),M,0 days 03:02:52.000000000,0 days 00:32:31.000000000,0 days 01:33:26.000000000,0 days 00:56:57.000000000
234,235,VILLENEUVE STÉPHANE,TRISALEVE ANNEMASSE,M (212) - V1M (57),M,0 days 03:03:19.000000000,0 days 00:26:59.000000000,0 days 01:28:20.000000000,0 days 01:08:00.000000000
235,236,GUILLERMET YVES,TRISALEVE ANNEMASSE,M (213) - V4M (7),M,0 days 03:03:59.000000000,0 days 00:29:11.000000000,0 days 01:35:45.000000000,0 days 00:59:04.000000000
236,237,GONCALVES THOMAS,ORLÉANS TRIATHLON CLUB 45,M (214) - S3M (27),M,0 days 03:04:04.000000000,0 days 00:30:38.000000000,0 days 01:36:16.000000000,0 days 00:57:12.000000000
237,238,BLIN NATHALIE,ISSY TRIATHLON,F (24) - S2F (8),F,0 days 03:04:07.000000000,0 days 00:28:40.000000000,0 days 01:41:43.000000000,0 days 00:53:45.000000000
238,239,LE COSSEC MARTIN,PUBLIER TRIATHLON,M (215) - S3M (28),M,0 days 03:04:09.000000000,0 days 00:34:22.000000000,0 days 01:31:35.000000000,0 days 00:58:13.000000000
239,240,PAYERNE RENAUD,GRESIVAUDAN TRIATHLON,M (216) - S4M (42),M,0 days 03:04:22.000000000,0 days 00:34:21.000000000,0 days 01:31:38.000000000,0 days 00:58:24.000000000
240,241,RENARD PIERRE,VALLONS DE LATOUR TRIATLON,M (217) - V2M (19),M,0 days 03:04:37.000000000,0 days 00:32:09.000000000,0 days 01:39:56.000000000,0 days 00:52:34.000000000
241,242,GROSBOILLOT ALEXANDRE,SO HOUILLES TRIATHLON,M (218) - S3M (29),M,0 days 03:04:48.000000000,0 days 00:34:00.000000000,0 days 01:39:33.000000000,0 days 00:51:16.000000000
242,243,PISSARD STÉPHANIE,STADE POITEVIN TRIATHLON,F (25) - S4F (2),F,0 days 03:04:55.000000000,0 days 00:29:56.000000000,0 days 01:41:39.000000000,0 days 00:53:20.000000000
243,244,CHANSEL FRÉDÉRIC,TRIATHLON CLUB DE GENÈVE,M (219) - V1M (58),M,0 days 03:05:01.000000000,0 days 00:30:05.000000000,0 days 01:41:55.000000000,0 days 00:53:01.000000000
244,245,FOUQUET THIERRY,TRIALP MOIRANS,M (220) - V1M (59),M,0 days 03:05:39.000000000,0 days 00:29:53.000000000,0 days 01:30:26.000000000,0 days 01:05:21.000000000
245,246,JEANBLANC ALEXANDRE,LES HYDROS,M (221) - S4M (43),M,0 days 03:06:03.000000000,0 days 00:33:04.000000000,0 days 01:30:40.000000000,0 days 01:02:20.000000000
246,247,BOUBLIL ALEXANDRE,NON LICENCIE,M (222) - S3M (30),M,0 days 03:06:11.000000000,0 days 00:31:38.000000000,0 days 01:37:41.000000000,0 days 00:56:53.000000000
247,248,BOURSEUL FREDERIC,UNIVERSAL PROGRESS,M (223) - V1M (60),M,0 days 03:06:19.000000000,0 days 00:27:51.000000000,0 days 01:34:20.000000000,0 days 01:04:08.000000000
248,249,RICARD BENOIT,CRV LYON TRIATHLON,M (224) - S2M (32),M,0 days 03:06:27.000000000,0 days 00:32:17.000000000,0 days 01:35:24.000000000,0 days 00:58:47.000000000
249,250,SABATIER SYLVIE,ASMSETRI42,F (26) - S3F (7),F,0 days 03:06:32.000000000,0 days 00:32:04.000000000,0 days 01:39:42.000000000,0 days 00:54:47.000000000
250,251,MILASHCHUK DMYTRO,NON LICENCIE,M (225) - S4M (44),M,0 days 03:06:42.000000000,0 days 00:28:42.000000000,0 days 01:37:20.000000000,0 days 01:00:40.000000000
251,252,PERROT HUGUES,NON LICENCIE,M (226) - S4M (45),M,0 days 03:06:47.000000000,0 days 00:34:58.000000000,0 days 01:36:57.000000000,0 days 00:54:53.000000000
252,253,SIMM KAI-UWE,NON LICENCIE,M (227) - V3M (12),M,0 days 03:07:02.000000000,0 days 00:35:27.000000000,0 days 01:34:38.000000000,0 days 00:56:58.000000000
253,254,BOREL YANN,NON LICENCIE,M (228) - S4M (46),M,0 days 03:07:24.000000000,0 days 00:29:09.000000000,0 days 01:34:34.000000000,0 days 01:03:42.000000000
254,255,ROBERT FABRICE,NON LICENCIE,M (229) - V2M (20),M,0 days 03:07:39.000000000,0 days 00:34:50.000000000,0 days 01:32:13.000000000,0 days 01:00:37.000000000
255,256,CHARVOLIN SIMON,NON LICENCIE,M (230) - S1M (21),M,0 days 03:07:41.000000000,0 days 00:25:44.000000000,0 days 01:38:59.000000000,0 days 01:03:00.000000000
256,257,JUILLET AURORE,LES ALLIGATORS SEYNOD TRIATHLON,F (27) - S1F (2),F,0 days 03:07:51.000000000,0 days 00:32:29.000000000,0 days 01:35:43.000000000,0 days 00:59:41.000000000
257,258,GAILLARD CYRIL,NON LICENCIE,M (231) - S4M (47),M,0 days 03:07:54.000000000,0 days 00:28:33.000000000,0 days 01:43:58.000000000,0 days 00:55:24.000000000
258,259,VAVRILLE CATHERINE,NON LICENCIE,F (28) - V2F (5),F,0 days 03:08:21.000000000,0 days 00:34:37.000000000,0 days 01:41:52.000000000,0 days 00:51:53.000000000
259,260,SABOT RÉMI,NON LICENCIE,M (232) - S3M (31),M,0 days 03:08:45.000000000,0 days 00:35:01.000000000,0 days 01:32:17.000000000,0 days 01:01:28.000000000
260,261,MISCIOSCIA ERIC,TRIALP MOIRANS,M (233) - V3M (13),M,0 days 03:08:48.000000000,0 days 00:37:00.000000000,0 days 01:37:49.000000000,0 days 00:54:00.000000000
261,262,VERVOITTE THIERRY,ECHIROLLES TRIATHLON,M (234) - V1M (61),M,0 days 03:08:58.000000000,0 days 00:32:51.000000000,0 days 01:36:22.000000000,0 days 00:59:46.000000000
262,263,VIGNEAU BENJAMIN,LEVALLOIS TRIATHLON,M (235) - S3M (32),M,0 days 03:09:20.000000000,0 days 00:31:51.000000000,0 days 01:40:43.000000000,0 days 00:56:47.000000000
263,264,ODIN LAURENCE,NON LICENCIE,F (29) - S4F (3),F,0 days 03:09:49.000000000,0 days 00:36:42.000000000,0 days 01:39:21.000000000,0 days 00:53:47.000000000
264,265,GUSSE JÉRÉMY,RUSHTEAM,M (236) - S2M (33),M,0 days 03:09:50.000000000,0 days 00:26:47.000000000,0 days 01:32:24.000000000,0 days 01:10:40.000000000
265,266,MURON LIONEL,LÉMAN TRIATHLON CLUB,M (237) - V1M (62),M,0 days 03:10:17.000000000,0 days 00:31:15.000000000,0 days 01:29:15.000000000,0 days 01:09:47.000000000
266,267,MARION ALINE,LES MILLE PATTES TRAITHLON GRENOBLE,F (30) - S3F (8),F,0 days 03:10:44.000000000,0 days 00:30:42.000000000,0 days 01:36:28.000000000,0 days 01:03:35.000000000
267,268,SEGURA GUSTAVO,LES ALLIGATORS SEYNOD TRIATHLON,M (238) - V1M (63),M,0 days 03:11:19.000000000,0 days 00:31:37.000000000,0 days 01:35:23.000000000,0 days 01:04:20.000000000
268,269,TURCAN CEDRIC,NON LICENCIE,M (239) - S4M (48),M,0 days 03:12:11.000000000,0 days 00:33:16.000000000,0 days 01:42:01.000000000,0 days 00:56:55.000000000
269,270,GIRAUD-MOINE DAVID,AIX SAVOIE TRIATHLON,M (240) - S4M (49),M,0 days 03:12:24.000000000,0 days 00:34:01.000000000,0 days 01:36:13.000000000,0 days 01:02:11.000000000
270,271,DENNEULIN PHILIPPE,CHABLAIS NORDIC,M (241) - V2M (21),M,0 days 03:13:07.000000000,0 days 00:30:26.000000000,0 days 01:38:11.000000000,0 days 01:04:32.000000000
271,272,RAMIREZ PATRICK,NHC TRI,M (242) - S3M (33),M,0 days 03:13:39.000000000,0 days 00:33:14.000000000,0 days 01:38:45.000000000,0 days 01:01:40.000000000
272,273,DOLY FABIEN,NON LICENCIE,M (243) - S2M (34),M,0 days 03:13:52.000000000,0 days 00:44:59.000000000,0 days 01:26:50.000000000,0 days 01:02:03.000000000
273,274,OUMEDDDOUR FELLA,VAULX EN VELIN TRIATHLON,F (31) - V1F (4),F,0 days 03:13:56.000000000,0 days 00:36:58.000000000,0 days 01:44:19.000000000,0 days 00:52:40.000000000
274,275,VIGOUREUX SOLENE,NON LICENCIE,F (32) - S2F (9),F,0 days 03:13:59.000000000,0 days 00:32:44.000000000,0 days 01:41:48.000000000,0 days 00:59:29.000000000
275,276,KRUCH YANN,FAST,M (244) - V1M (64),M,0 days 03:14:08.000000000,0 days 00:37:35.000000000,0 days 01:37:07.000000000,0 days 00:59:27.000000000
276,277,GEHARD MARTIN,NON LICENCIE,M (245) - S2M (35),M,0 days 03:14:34.000000000,0 days 00:34:40.000000000,0 days 01:43:13.000000000,0 days 00:56:42.000000000
277,278,JEAN JEROME,NON LICENCIE,M (246) - V1M (65),M,0 days 03:14:38.000000000,0 days 00:33:12.000000000,0 days 01:40:40.000000000,0 days 01:00:47.000000000
278,279,DELESCHAUD CLAUDE,TRI CLUB CHATELLERAULT,M (247) - V4M (8),M,0 days 03:14:47.000000000,0 days 00:28:37.000000000,0 days 01:31:49.000000000,0 days 01:14:22.000000000
279,280,PHILIBERT PAOLA,LES HYDROCYCLOPEDS,F (33) - S4F (4),F,0 days 03:14:51.000000000,0 days 00:30:32.000000000,0 days 01:51:34.000000000,0 days 00:52:46.000000000
280,281,LEGOUHY JEAN-MARIE,FONTANIL TRIATHLON,M (248) - V3M (14),M,0 days 03:15:11.000000000,0 days 00:33:23.000000000,0 days 01:29:24.000000000,0 days 01:12:25.000000000
281,282,FRESCURAT MARIE LUCE,LES HYDROS,F (34) - V1F (5),F,0 days 03:15:15.000000000,0 days 00:32:10.000000000,0 days 01:40:04.000000000,0 days 01:03:02.000000000
282,283,BOUVIER ALEXANDRE,SWISS TRIATHLON,M (249) - V1M (66),M,0 days 03:15:41.000000000,0 days 00:33:12.000000000,0 days 01:35:01.000000000,0 days 01:07:29.000000000
283,284,BASTARD ROSSET PASCAL,TOBESPORT,M (250) - S4M (50),M,0 days 03:15:51.000000000,0 days 00:32:16.000000000,0 days 01:36:06.000000000,0 days 01:07:30.000000000
284,285,MIQUEROL CAMILLE,LES HYDROS ANNECY,F (35) - S2F (10),F,0 days 03:16:55.000000000,0 days 00:29:19.000000000,0 days 01:41:57.000000000,0 days 01:05:40.000000000
285,286,BOUVIER NICOLAS,TRISALEVE,M (251) - S3M (34),M,0 days 03:16:56.000000000,0 days 00:33:32.000000000,0 days 01:33:30.000000000,0 days 01:09:55.000000000
286,287,CASTELNAU MARGAUX,NANTERRE TRIATHLON,F (36) - S1F (3),F,0 days 03:17:14.000000000,0 days 00:31:55.000000000,0 days 01:47:24.000000000,0 days 00:57:56.000000000
287,288,REGENT NADEGE,TRIALP MOIRANS,F (37) - S4F (5),F,0 days 03:18:06.000000000,0 days 00:35:00.000000000,0 days 01:37:29.000000000,0 days 01:05:37.000000000
288,289,ROUFFINEAU LAURENT,PUBLIER TRIATHLON,M (252) - V2M (22),M,0 days 03:18:54.000000000,0 days 00:41:08.000000000,0 days 01:37:11.000000000,0 days 01:00:35.000000000
289,290,DEOTTO JEAN FRANCOIS,NON LICENCIE,M (253) - V5M (2),M,0 days 03:19:18.000000000,0 days 00:33:27.000000000,0 days 01:41:11.000000000,0 days 01:04:41.000000000
290,291,TERRIER EMMANUELLE,LES HYDROCYCLOPEDES,F (38) - S4F (6),F,0 days 03:19:26.000000000,0 days 00:31:35.000000000,0 days 01:50:57.000000000,0 days 00:56:55.000000000
291,292,JEANTET RICHARD,NON LICENCIE,M (254) - V3M (15),M,0 days 03:19:46.000000000,0 days 00:37:42.000000000,0 days 01:44:55.000000000,0 days 00:57:09.000000000
292,293,QUERO JOHN,PUBLIER TRIATHLON,M (255) - V2M (23),M,0 days 03:20:03.000000000,0 days 00:37:43.000000000,0 days 01:44:32.000000000,0 days 00:57:48.000000000
293,294,BOUTZEN LORIANNE,ISSY TRIATHLON,F (39) - S2F (11),F,0 days 03:20:55.000000000,0 days 00:31:08.000000000,0 days 01:47:08.000000000,0 days 01:02:40.000000000
294,295,CHANTEGREL MAGALI,PUBLIER TRIATHLON,F (40) - V1F (6),F,0 days 03:21:18.000000000,0 days 00:33:55.000000000,0 days 01:45:07.000000000,0 days 01:02:17.000000000
295,296,BRAULT YVAN,NON LICENCIE,M (256) - V3M (16),M,0 days 03:21:19.000000000,0 days 00:33:37.000000000,0 days 01:47:25.000000000,0 days 01:00:17.000000000
296,297,WANWESTWINKEL PHILIPPE,OYONNAX,M (257) - V4M (9),M,0 days 03:21:35.000000000,0 days 00:32:29.000000000,0 days 01:48:40.000000000,0 days 01:00:26.000000000
297,298,PLENIER ALICE,NON LICENCIE,F (41) - S4F (7),F,0 days 03:21:35.000000000,0 days 00:34:29.000000000,0 days 01:45:09.000000000,0 days 01:01:58.000000000
298,299,BONNAIRE CHRISTOPHE,FREE IRON TEAM,M (258) - V2M (24),M,0 days 03:21:43.000000000,0 days 00:39:01.000000000,0 days 01:30:41.000000000,0 days 01:12:02.000000000
299,300,PHILIPPEAU EMMANUEL,EFS RHONE ALPES TRIATHLON,M (259) - V1M (67),M,0 days 03:22:12.000000000,0 days 00:35:07.000000000,0 days 01:47:07.000000000,0 days 00:59:59.000000000
300,301,HISLER GEOFFROY,NON LICENCIE,M (260) - S3M (35),M,0 days 03:22:35.000000000,0 days 00:32:47.000000000,0 days 01:33:49.000000000,0 days 01:16:00.000000000
301,302,RIVERA DAVID,NON LICENCIE,M (261) - S4M (51),M,0 days 03:23:19.000000000,0 days 00:37:03.000000000,0 days 01:40:46.000000000,0 days 01:05:31.000000000
302,303,DELOT PAULINE,NON LICENCIE,F (42) - S2F (12),F,0 days 03:23:34.000000000,0 days 00:32:14.000000000,0 days 01:40:14.000000000,0 days 01:11:06.000000000
303,304,SHIN JINHO,SWISS TRIATHLON,M (262) - V2M (25),M,0 days 03:24:52.000000000,0 days 00:32:33.000000000,0 days 01:45:21.000000000,0 days 01:06:59.000000000
304,305,MORDANT PIERRE,LAGARDÈRE,M (263) - S3M (36),M,0 days 03:25:34.000000000,0 days 00:32:25.000000000,0 days 01:43:13.000000000,0 days 01:09:56.000000000
305,306,BOUBLIL DANIEL,NON LICENCIE,M (264) - S4M (52),M,0 days 03:26:29.000000000,0 days 00:32:16.000000000,0 days 01:56:37.000000000,0 days 00:57:37.000000000
306,307,FOURNIER FREDERIC,NON LICENCIE,M (265) - V2M (26),M,0 days 03:26:59.000000000,0 days 00:31:33.000000000,0 days 01:38:12.000000000,0 days 01:17:14.000000000
307,308,FARGNOLI ERIC,VAULX EN VELIN TRIATHLON,M (266) - V2M (27),M,0 days 03:27:45.000000000,0 days 00:42:35.000000000,0 days 01:50:47.000000000,0 days 00:54:24.000000000
308,309,PEYRELONG SERGE,VAULX EN VELIN TRIATHLON,M (267) - V3M (17),M,0 days 03:28:56.000000000,0 days 00:35:04.000000000,0 days 01:51:00.000000000,0 days 01:02:53.000000000
309,310,SILVA VERONICA,ASVEL,F (43) - S4F (8),F,0 days 03:29:04.000000000,0 days 00:37:23.000000000,0 days 01:52:56.000000000,0 days 00:58:45.000000000
