,Place,Nom,Club,Categorie,Sexe,Scratch,Natation,Velo,Cap
0,1,BLANC JÉRÔME,VITROLLES TRIATHLON,S3M (1),M,0 days 02:32:37.000000000,0 days 00:23:21.000000000,0 days 01:31:54.000000000,0 days 00:37:23.000000000
1,2,MAZURE CYRILLE,BEAUVAIS TRIATHLON,V1M (1),M,0 days 02:38:57.000000000,0 days 00:22:33.000000000,0 days 01:34:58.000000000,0 days 00:41:26.000000000
2,3,LE ROY CORENTIN,VAULX EN VELIN TRIATHLON,S1M (1),M,0 days 02:41:06.000000000,,,
3,4,DOLCI ADRIEN,GUC TRIATHLON,S3M (2),M,0 days 02:41:17.000000000,0 days 00:32:10.000000000,0 days 01:32:01.000000000,0 days 00:37:08.000000000
4,5,BATTA BRICE,AUBAGNE TRIATHLON,S2M (1),M,0 days 02:42:49.000000000,0 days 00:25:49.000000000,0 days 01:35:18.000000000,0 days 00:41:43.000000000
5,6,MOUNIER PIERRE JEAN,ALECHIROLLES TRIATHLON,S1M (2),M,0 days 02:42:50.000000000,0 days 00:22:35.000000000,0 days 01:38:39.000000000,0 days 00:41:38.000000000
6,7,LAFAY FLAVIAN,MAT,S1M (3),M,0 days 02:44:09.000000000,0 days 00:29:36.000000000,0 days 01:33:22.000000000,0 days 00:41:12.000000000
7,8,REBAUD THOMAS,VALENCE TRIATHLON,S1M (4),M,0 days 02:44:49.000000000,0 days 00:22:22.000000000,0 days 01:39:32.000000000,0 days 00:42:55.000000000
8,9,DUBLANCHET REGIS,TRIATHLON CLUB CHATEAUROUX 36,S1M (5),M,0 days 02:45:00.000000000,0 days 00:24:11.000000000,0 days 01:37:14.000000000,0 days 00:43:36.000000000
9,10,COURLET DAVID,ASSP TRIATHLON 69,S3M (3),M,0 days 02:45:33.000000000,0 days 00:23:30.000000000,0 days 01:37:42.000000000,0 days 00:44:22.000000000
10,11,RODRIGUEZ JOHAN,VAULX EN VELIN TRIATHLON,S1M (6),M,0 days 02:46:13.000000000,0 days 00:23:11.000000000,0 days 01:35:33.000000000,0 days 00:47:29.000000000
11,12,MICHEL LOIC,BOURG EN BRESSE TRIATHLON,S3M (4),M,0 days 02:46:17.000000000,0 days 00:27:22.000000000,0 days 01:39:34.000000000,0 days 00:39:22.000000000
